DELHI,,,,,,,,,,,,,,,
Major,,,,,,,,,,,,,,,
AGE GROUPS,,,,,,,,,,,,,,,
Group No.,CA U S E  O F   D E A T H,Sex,,1-4,5-14,15-24,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,,5,6,7,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,,109,181,409,570,,702,916,1013,401,1035,87,5936
1,DISEASES (A00-B99),F,,96,231,453,428,,328,482,595,265,738,51,4022
1,,T,,205,412,862,998,,1030,1398,1608,666,1773,138,9958
2,NEOPLASMS,M,,45,100,119,142,,234,375,551,264,388,9,2259
2,(C00-D48),F,,22,44,60,131,,234,397,392,149,239,3,1678
2,,T,,67,144,179,273,,468,772,943,413,627,12,3937
3,DISEASES OF BLOOD & BLOOD FORMING,M,,16,47,52,47,,62,37,50,17,31,1,379
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,,10,33,41,42,,42,37,35,12,38,3,304
3,THE IMMUNE MECHANISM (D50-D89),T,,26,80,93,89,,104,74,85,29,69,4,683
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,,9,7,30,50,,83,221,329,140,280,4,1175
4,DISEASES (E00-E89),F,,10,7,33,38,,87,173,239,140,233,4,981
4,,T,,19,14,63,88,,170,394,568,280,513,8,2156
5,MENTAL AND BEHAVIOURAL DISORDERS,M,,0,1,5,6,,4,1,3,0,4,0,25
5,(F01-F99),F,,0,0,1,3,,2,4,0,0,2,3,15
5,,T,,0,1,6,9,,6,5,3,0,6,3,40
6,DISEASES OF THE NERVOUS SYSTEM,M,,48,73,98,83,,107,139,143,60,108,5,930
6,(G00-G98),F,,49,59,63,48,,55,66,75,33,80,3,590
6,,T,,97,132,161,131,,162,205,218,93,188,8,1520
7,DISEASES OF THE EYE AND ADNEXA,M,,0,0,0,0,,0,1,0,0,0,0,1
7,(H00-H59),F,,0,0,0,0,,0,0,0,0,0,0,0
7,,T,,0,0,0,0,,0,1,0,0,0,0,1
8,DISEASES OF THE EAR AND MASTOID,M,,0,0,0,0,,0,0,0,0,0,0,0
8,PROCESS (H60-H95),F,,0,0,0,0,,0,0,0,0,0,0,0
8,,T,,0,0,0,0,,0,0,0,0,0,0,0
9,DISEASES OF THE CIRCULATORY,M,,52,73,258,477,,908,1473,2100,1030,2136,116,8750
9,SYSTEM (I00-I99),F,,34,64,214,282,,418,770,1129,591,1563,62,5203
9,,T,,86,137,472,759,,1326,2243,3229,1621,3699,178,13953
10,DISEASES OF THE RESPIRATORY,M,,96,114,191,287,,443,708,1004,529,1209,113,4985
10,SYSTEM (J00-J98),F,,62,108,191,170,,236,431,548,304,772,40,3071
10,,T,,158,222,382,457,,679,1139,1552,833,1981,153,8056
11,DISEASES OF THE DIGESTIVE SYSTEM,M,,23,30,120,343,,725,710,525,153,349,10,3060
11,(K00-K92),F,,19,37,86,112,,100,193,209,118,191,12,1118
11,,T,,42,67,206,455,,825,903,734,271,540,22,4178
12,DISEASES OF THE SKIN AND,M,,0,2,1,3,,2,2,0,1,2,0,14
12,SUBCUTANEOUS TISSUE (L00-L98),F,,0,2,2,0,,3,0,4,1,1,0,14
12,,T,,0,4,3,3,,5,2,4,2,3,0,28
13,DISEASES OF THE MUSCULOSKELETAL,M,,2,2,5,3,,6,10,14,4,8,0,54
13,SYSTEM AND CONNECTIVE TISSUE,F,,1,3,5,8,,8,7,6,4,2,1,46
13,(M00-M99),T,,3,5,10,11,,14,17,20,8,10,1,100
14,DISEASES OF THE GENITOURINARY,M,,18,35,68,92,,147,249,260,117,260,10,1316
14,SYSTEM (N00-N99),F,,18,24,46,77,,102,134,196,73,185,8,902
