GOA,,,,,,,,,,,,,,,
"Group
No.",CA U S E  O F   D E A T H,Sex,,1-4      5-14     15-24,,,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,,5            6            7,,,8            9,,,10,11,12,13,14          15,
I,CERTAIN INFECTIOUS AND PARASITIC,M,,0,,,20,,49,66,54,14,66,1,286
,DISEASES (A00-B99),F,,2,,,8,,18,22,19,5,92,1,178
,,T,,2,,,28,,67,88,73,19,158,2,464
II,NEOPLASMS,M,,1,,,6,,20,59,131,87,217,0,527
,(C00-D48),F,,2,,,9,,26,81,125,82,202,0,535
,,T,,3,,,15,,46,140,256,169,419,0,1062
III,DISEASES OF BLOOD & BLOOD FORMING,M,,2,,,4,,5,13,10,4,31,0,71
,ORGANS & CERTAIN DISORDERS INVOLVING,F,,1,,,5,,8,4,5,6,50,0,82
,THE IMMUNE MECHANISM (D50-D89),T,,3,,,9,,13,17,15,10,81,0,153
IV,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,,0,,,7,,27,90,188,135,393,1,843
,DISEASES (E00-E89),F,,0,,,1,,5,40,95,85,426,0,653
,,T,,0,,,8,,32,130,283,220,819,1,1496
V,MENTAL AND BEHAVIOURAL DISORDERS,M,,0,,,2,,3,2,3,1,11,0,24
,(F01-F99),F,,0,,,1,,1,1,0,0,8,0,13
,,T,,0,,,3,,4,3,3,1,19,0,37
VI,DISEASES OF THE NERVOUS SYSTEM,M,,2,,,12,,15,21,34,17,61,0,171
,(G00-G98),F,,2,,,2,,7,6,13,11,42,0,89
,,T,,4,,,14,,22,27,47,28,103,0,260
VII,DISEASES OF THE EYE AND ADNEXA,M,,0,,,0,,0,0,0,0,0,0,0
,(H00-H59),F,,0,,,0,,0,0,0,0,0,0,0
,,T,,0,,,0,,0,0,0,0,0,0,0
VIII,DISEASES OF THE EAR AND MASTOID,M,,0,,,0,,0,0,0,0,0,0,0
,PROCESS (H60-H95),F,,0,,,0,,0,0,0,0,0,0,0
,,T,,0,,,0,,0,0,0,0,0,0,0
IX,DISEASES OF THE CIRCULATORY,M,,1,,,40,,136,312,494,334,1346,13,2698
,SYSTEM (I00-I99),F,,1,,,13,,45,115,225,228,1797,7,2441
,,T,,2,,,53,,181,427,719,562,3143,20,5139
X,DISEASES OF THE RESPIRATORY,M,,2,,,44,,47,69,91,61,322,3,649
,SYSTEM (J00-J98),F,,2,,,13,,14,34,55,56,362,0,546
,,T,,4,,,57,,61,103,146,117,684,3,1195
XI,DISEASES OF THE DIGESTIVE SYSTEM,M,,0,,,91,,225,318,206,79,84,6,1016
,(K00-K92),F,,0,,,5,,5,24,25,7,34,0,101
,,T,,0,,,96,,230,342,231,86,118,6,1117
XII,DISEASES OF THE SKIN AND,M,,0,,,0,,3,5,5,2,3,0,20
,SUBCUTANEOUS TISSUE (L00-L98),F,,0,,,0,,0,1,2,0,5,0,8
,,T,,0,,,0,,3,6,7,2,8,0,28
XIII,DISEASES OF THE MUSCULOSKELETAL,M,,0,,,1,,1,1,2,1,5,0,12
,SYSTEM AND CONNECTIVE TISSUE,F,,0,,,0,,5,2,8,0,6,0,21
,(M00-M99),T,,0,,,1,,6,3,10,1,11,0,33
XIV,DISEASES OF THE GENITOURINARY,M,,1,,,9,,30,55,83,45,137,0,367
,SYSTEM (N00-N99),F,,0,,,7,,10,28,40,29,112,1,234
,,T,,1,,,16,,40,83,123,74,249,1,601
XV,"PREGNANCY, CHILDBIRTH AND THE",F,,0,,,6,,1,0,0,0,0,0,9
,PUERPERIUM (O00-O99),T,,0,,,6,,1,0,0,0,0,0,9
XVI,CERTAIN CONDITIONS ORIGINATING,M,,0,,,0,,0,0,0,0,0,0,76
,IN THE PERINATAL PERIOD (P00-P96),F,,0,,,0,,0,0,0,0,0,0,47
,,T,,0,,,0,,0,0,0,0,0,0,123
XVII,"CONGENITAL MALFORMATIONS,",M,,0,,,0,,0,0,0,0,0,0,23
,DEFORMATIONS AND CHROMOSOMAL,F,,0,,,0,,0,0,0,0,0,0,11
,ABNORMALITIES (Q00-Q99),T,,0,,,0,,0,0,0,0,0,0,34
XVIII,"SYMPTOMS, SIGNS AND ABNORMAL",M,,3,,,54,,69,65,80,61,263,52,671
,CLINICAL  AND LABORATORY FINDINGS,F,,3,,,6,,6,19,55,42,415,43,604
,N.E.C. (R00-R99),T,,6,,,60,,75,84,135,103,678,95,1275
XIX,"INJURY, POISONING AND CERTAIN OTHER",M,,1,,,153,,114,103,88,24,41,2,647
,CONSEQUENCES OF EXTERNAL,F,,2,,,25,,15,24,24,7,22,1,147
,CAUSES (S00-T98),T,,3,,,178,,129,127,112,31,63,3,794
XXII,Codes for Special Purposes,M,,1,,,16,,26,101,130,81,198,2,559
,(U00-U49),F,,0,,,8,,6,31,58,36,78,1,222
,,T,,1,,,24,,32,132,188,117,276,3,781
,,M,,14,,,459,,770,1280,1599,946,3178,80,8660
,A L L  C A U S E S,F,,15,,,109,,172,432,749,594,3651,54,5941
,,T,,29,,,568,,942,1712,2348,1540,6829,134,14601
"TABLE 7.11 :MEDICALLY CERTIFIED DEATHS BY AGE, SEX AND MAJOR CAUSE GROUPS (BASED UPON TENTH REVISION OF ICD) DURING 2020",,,,,,,,,,,,,,,
