HARYANA,,,,,,,,,,,,,,,
Major Group,CA U S E  O F   D E A T H,,,,,,AGE GROUPS,,,,,,,,
No.,,,,1-4,5-14,15-24,25-34    35-44  45-54,,,,55-64,,70+,N.S.    TOTAL,
1,2,,,5,6,7,8            9           10,,,,11,,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,,,15,33,57,136,,222,326,419,,532,0,
1,DISEASES (A00-B99),,,7,31,71,91,,98,149,201,,334,0,
1,,,,22,64,128,227,,320,475,620,,866,0,
2,NEOPLASMS,,,2,4,14,28,,66,159,260,,178,0,
2,(C00-D48),,,2,9,8,23,,60,119,128,,107,0,
2,,,,4,13,22,51,,126,278,388,,285,0,
3,DISEASES OF BLOOD & BLOOD FORMING,,,5,2,3,1,,10,14,13,,19,0,
3,ORGANS & CERTAIN DISORDERS INVOLVING,,,4,3,14,11,,9,9,10,,13,0,
3,THE IMMUNE MECHANISM (D50-D89),,,9,5,17,12,,19,23,23,,32,0,
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",,,1,3,16,16,,32,56,81,,113,0,
4,DISEASES (E00-E89),,,3,2,9,11,,22,30,45,,95,0,
4,,,,4,5,25,27,,54,86,126,,208,0,
5,MENTAL AND BEHAVIOURAL DISORDERS,,,0,0,0,2,,3,4,2,,2,0,
5,(F01-F99),,,1,0,2,0,,0,2,0,,1,0,
5,,,,1,0,2,2,,3,6,2,,3,0,
6,DISEASES OF THE NERVOUS SYSTEM,,,3,5,9,10,,13,20,24,,18,0,
6,(G00-G98),,,2,6,3,6,,3,12,15,,19,0,
6,,,,5,11,12,16,,16,32,39,,37,0,
7,DISEASES OF THE EYE AND ADNEXA,,,0,0,0,0,,2,0,0,,1,0,
7,(H00-H59),,,0,0,0,0,,0,1,0,,0,0,
7,,,,0,0,0,0,,2,1,0,,1,0,
8,DISEASES OF THE EAR AND MASTOID,,,0,0,0,0,,0,0,0,,0,0,
8,PROCESS (H60-H95),,,0,0,0,0,,0,0,0,,0,0,
8,,,,0,0,0,0,,0,0,0,,0,0,
9,DISEASES OF THE CIRCULATORY,,,29,44,106,239,,357,649,878,,1221,0,
9,SYSTEM (I00-I99),,,16,37,92,120,,151,281,411,,840,0,
9,,,,45,81,198,359,,508,930,1289,,2061,0,
10,DISEASES OF THE RESPIRATORY,,,26,25,44,75,,158,229,371,,628,0,
10,SYSTEM (J00-J98),,,20,23,35,49,,77,97,189,,344,0,
10,,,,46,48,79,124,,235,326,560,,972,0,
11,DISEASES OF THE DIGESTIVE SYSTEM,,,1,7,18,87,,182,242,245,,132,0,
11,(K00-K92),,,2,5,14,18,,24,45,70,,75,0,
11,,,,3,12,32,105,,206,287,315,,207,0,
12,DISEASES OF THE SKIN AND,,,0,0,0,0,,1,1,1,,1,0,
12,SUBCUTANEOUS TISSUE (L00-L98),,,0,0,0,1,,1,0,0,,1,0,
12,,,,0,0,0,1,,2,1,1,,2,0,
13,DISEASES OF THE MUSCULOSKELETAL,,,0,0,1,3,,6,6,4,,2,0,
13,SYSTEM AND CONNECTIVE TISSUE,,,0,0,0,1,,1,3,5,,6,0,
13,(M00-M99),,,0,0,1,4,,7,9,9,,8,0,
14,DISEASES OF THE GENITOURINARY,,,1,2,25,36,,72,130,139,,191,0,
14,SYSTEM (N00-N99),,,1,2,20,24,,33,39,80,,109,0,
14,,,,2,4,45,60,,105,169,219,,300,0,
15,"PREGNANCY, CHILDBIRTH AND THE",,,0,0,7,11,,10,7,0,,0,0,
15,PUERPERIUM (O00-O99),,,0,0,7,11,,10,7,0,,0,0,
16,CERTAIN CONDITIONS ORIGINATING,,,0,0,0,0,,0,0,0,,0,0,
16,IN THE PERINATAL PERIOD (P00-P96),,,0,0,0,0,,0,0,0,,0,0,
16,,,,0,0,0,0,,0,0,0,,0,0,
17,"CONGENITAL MALFORMATIONS,",,,0,0,0,0,,0,1,0,,0,0,
17,DEFORMATIONS AND CHROMOSOMAL,,,0,0,0,0,,0,1,0,,2,0,
17,ABNORMALITIES (Q00-Q99),,,0,0,0,0,,0,2,0,,2,0,
18,"SYMPTOMS, SIGNS AND ABNORMAL",,,36,85,418,734,,811,936,963,,1473,0,
18,CLINICAL  AND LABORATORY FINDINGS,,,42,60,182,220,,198,223,381,,1134,0,
18,N.E.C. (R00-R99),,,78,145,600,954,,1009,1159,1344,,2607,0,
19,"INJURY, POISONING AND CERTAIN OTHER",,,14,11,106,179,,134,111,71,,42,0,
19,CONSEQUENCES OF EXTERNAL,,,8,4,68,68,,34,35,21,,25,0,
19,CAUSES (S00-T98),,,22,15,174,247,,168,146,92,,67,0,
20,Codes for Special Purposes,,,1,0,2,33,,47,113,183,,281,0,
20,(U00-U49),,,0,2,8,7,,26,55,77,,137,0,
20,,,,1,2,10,40,,73,168,260,,418,0,
,,,,134,221,819,1579,,2116,2997,3654,,4834,0,
,A L L   C A U S E S,,,108,184,533,661,,747,1108,1633,,3242,0,
,,,,242,405,1352,2240,,2863,4105,5287,,8076,0,
