MAHARASHTRA,,,,,,,,,,,,,,,
"Group
No.",CA U S E  O F   D E A T H,Sex,<1,1-4,5-14,15-24,25-34,35-44,,45-54,55-64,65-69,70+,N.S.,
1,2,3,4,5,6,7,8,9,,10,11,12,13,14,
1,CERTAIN INFECTIOUS AND PARASITIC,M,267,107,230,630,1221,1766,,2105,2062,1014,2332,118,
1,DISEASES (A00-B99),F,167,76,245,718,643,828,,932,902,532,1470,37,
1,,T,434,183,475,1348,1864,2594,,3037,2964,1546,3802,155,
2,NEOPLASMS,M,12,54,125,154,224,629,,1762,3178,1862,4363,199,
2,(C00-D48),F,7,33,76,76,152,437,,1259,2915,1610,3146,104,
2,,T,19,87,201,230,376,1066,,3021,6093,3472,7509,303,
3,DISEASES OF BLOOD & BLOOD FORMING,M,21,14,127,171,173,198,,268,281,161,753,21,
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,15,19,91,141,120,133,,151,198,138,683,8,
3,THE IMMUNE MECHANISM (D50-D89),T,36,33,218,312,293,331,,419,479,299,1436,29,
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,89,35,49,58,380,966,,2848,5414,3610,9815,7,
4,DISEASES (E00-E89),F,57,22,23,47,192,445,,1497,3172,2364,7701,19,
4,,T,146,57,72,105,572,1411,,4345,8586,5974,17516,26,
5,MENTAL AND BEHAVIOURAL DISORDERS,M,1,1,16,51,75,148,,158,144,60,236,12,
5,(F01-F99),F,0,1,8,8,13,24,,21,25,19,146,4,
5,,T,1,2,24,59,88,172,,179,169,79,382,16,
6,DISEASES OF THE NERVOUS SYSTEM,M,151,78,181,234,320,488,,567,851,518,1927,43,
6,(G00-G98),F,90,34,92,135,107,145,,230,310,245,1105,25,
6,,T,241,112,273,369,427,633,,797,1161,763,3032,68,
7,DISEASES OF THE EYE AND ADNEXA,M,0,0,0,0,0,0,,2,0,0,2,0,
7,(H00-H59),F,0,0,0,0,0,0,,2,1,1,2,0,
7,,T,0,0,0,0,0,0,,4,1,1,4,0,
8,DISEASES OF THE EAR AND MASTOID,M,0,0,1,1,0,1,,0,4,0,6,0,
8,PROCESS (H60-H95),F,0,0,0,1,0,1,,0,0,0,1,0,
8,,T,0,0,1,2,0,2,,0,4,0,7,0,
9,DISEASES OF THE CIRCULATORY,M,21,22,51,187,1062,4535,,8996,12838,7992,25262,98,
9,SYSTEM (I00-I99),F,11,10,18,75,410,1210,,2698,4687,3436,16002,29,
9,,T,32,32,69,262,1472,5745,,11694,17525,11428,41264,127,
