MANIPUR,,,,,,,,,,,,,,,
Group No.,CA U S E  O F   D E A T H,Sex,<1,1-4      5-14     15-24,,,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,4,5            6            7,,,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,2,0,,,12,,20,22,16,7,21,0,107
1,DISEASES (A00-B99),F,6,0,,,10,,3,11,8,1,4,0,53
1,,T,8,0,,,22,,23,33,24,8,25,0,160
2,NEOPLASMS,M,0,0,,,0,,6,9,16,5,9,0,47
2,(C00-D48),F,0,0,,,5,,6,9,8,5,7,0,41
2,,T,0,0,,,5,,12,18,24,10,16,0,88
3,DISEASES OF BLOOD & BLOOD FORMING,M,2,0,,,2,,1,1,2,2,5,0,19
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,2,0,,,3,,0,2,3,1,3,0,17
3,THE IMMUNE MECHANISM (D50-D89),T,4,0,,,5,,1,3,5,3,8,0,36
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,0,0,,,0,,5,20,33,7,22,0,88
4,DISEASES (E00-E89),F,2,0,,,3,,6,12,17,14,24,0,78
4,,T,2,0,,,3,,11,32,50,21,46,0,166
5,MENTAL AND BEHAVIOURAL DISORDERS,M,0,0,,,0,,1,0,1,0,0,0,2
5,(F01-F99),F,0,0,,,0,,0,0,0,0,0,0,0
5,,T,0,0,,,0,,1,0,1,0,0,0,2
6,DISEASES OF THE NERVOUS SYSTEM,M,2,0,,,3,,2,2,4,0,2,0,21
6,(G00-G98),F,6,0,,,0,,3,2,2,4,0,0,17
6,,T,8,0,,,3,,5,4,6,4,2,0,38
7,DISEASES OF THE EYE AND ADNEXA,M,0,0,,,0,,0,0,0,0,0,0,0
7,(H00-H59),F,0,0,,,0,,0,0,0,0,0,0,0
7,,T,0,0,,,0,,0,0,0,0,0,0,0
8,DISEASES OF THE EAR AND MASTOID,M,0,0,,,0,,0,0,0,0,0,0,0
8,PROCESS (H60-H95),F,0,0,,,0,,0,0,0,0,0,0,0
8,,T,0,0,,,0,,0,0,0,0,0,0,0
9,DISEASES OF THE CIRCULATORY,M,10,1,,,13,,20,42,44,38,87,0,264
9,SYSTEM (I00-I99),F,3,0,,,8,,10,18,23,10,40,0,114
9,,T,13,1,,,21,,30,60,67,48,127,0,378
10,DISEASES OF THE RESPIRATORY,M,6,2,,,8,,9,25,17,14,44,1,133
10,SYSTEM (J00-J98),F,12,0,,,4,,1,4,8,4,26,0,60
10,,T,18,2,,,12,,10,29,25,18,70,1,193
11,DISEASES OF THE DIGESTIVE SYSTEM,M,0,0,,,18,,51,70,51,14,10,1,219
11,(K00-K92),F,0,0,,,5,,5,11,14,2,8,0,45
11,,T,0,0,,,23,,56,81,65,16,18,1,264
12,DISEASES OF THE SKIN AND,M,0,0,,,0,,0,0,0,0,0,0,0
12,SUBCUTANEOUS TISSUE (L00-L98),F,0,0,,,0,,0,0,0,0,1,0,1
12,,T,0,0,,,0,,0,0,0,0,1,0,1
13,DISEASES OF THE MUSCULOSKELETAL,M,0,0,,,0,,0,1,1,0,0,0,2
13,SYSTEM AND CONNECTIVE TISSUE,F,0,0,,,1,,2,0,0,0,1,0,5
13,(M00-M99),T,0,0,,,1,,2,1,1,0,1,0,7
14,DISEASES OF THE GENITOURINARY,M,0,0,,,1,,8,8,14,5,14,0,56
14,SYSTEM (N00-N99),F,1,0,,,3,,2,5,4,2,4,0,23
14,,T,1,0,,,4,,10,13,18,7,18,0,79
15,"PREGNANCY, CHILDBIRTH AND THE",F,0,0,,,0,,0,0,0,0,0,0,3
15,PUERPERIUM (O00-O99),T,0,0,,,0,,0,0,0,0,0,0,3
16,CERTAIN CONDITIONS ORIGINATING,M,49,0,,,0,,0,0,0,0,0,0,49
16,IN THE PERINATAL PERIOD (P00-P96),F,19,0,,,0,,0,0,0,0,0,0,19
16,,T,68,0,,,0,,0,0,0,0,0,0,68
17,"CONGENITAL MALFORMATIONS,",M,0,0,,,0,,0,0,0,0,0,0,0
17,DEFORMATIONS AND CHROMOSOMAL,F,1,0,,,1,,0,0,0,0,0,0,2
17,ABNORMALITIES (Q00-Q99),T,1,0,,,1,,0,0,0,0,0,0,2
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,6,4,,,22,,42,60,46,22,38,0,261
18,CLINICAL  AND LABORATORY FINDINGS,F,13,0,,,9,,10,11,19,9,13,0,92
18,N.E.C. (R00-R99),T,19,4,,,31,,52,71,65,31,51,0,353
19,"INJURY, POISONING AND CERTAIN OTHER",M,0,1,,,16,,7,12,4,2,6,1,63
19,CONSEQUENCES OF EXTERNAL,F,0,0,,,1,,2,0,1,1,2,0,10
19,CAUSES (S00-T98),T,0,1,,,17,,9,12,5,3,8,1,73
20,Codes for Special Purposes,M,0,0,,,5,,26,40,60,31,86,0,251
20,(U00-U49),F,0,0,,,6,,10,13,29,7,38,0,104
20,,T,0,0,,,11,,36,53,89,38,124,0,355
,,M,77,8,,,100,,198,312,309,147,344,3,1582
,A L L  C A U S E S,F,65,0,,,59,,60,98,136,60,171,0,684
total,,T,142,8,,,159,,258,410,445,207,515,3,2266
