MEGHALAYA,,,,,,,,,,,,,,,
"Group
No.",CA U S E  O F   D E A T H,Sex,,1-4      5-14,,15-24,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,,5            6,,7,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,,9,,26,24,,29,25,27,8,13,7,198
1,DISEASES (A00-B99),F,,10,,16,15,,18,9,10,1,13,2,121
1,,T,,19,,42,39,,47,34,37,9,26,9,319
2,NEOPLASMS,M,,1,,3,7,,37,84,74,25,45,10,289
2,(C00-D48),F,,0,,4,6,,25,45,39,14,29,9,172
2,,T,,1,,7,13,,62,129,113,39,74,19,461
3,DISEASES OF BLOOD & BLOOD FORMING,M,,1,,2,1,,0,3,1,0,0,0,8
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,,0,,5,3,,2,4,4,0,1,1,21
3,THE IMMUNE MECHANISM (D50-D89),T,,1,,7,4,,2,7,5,0,1,1,29
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,,2,,3,5,,13,7,18,6,13,3,73
4,DISEASES (E00-E89),F,,0,,3,1,,2,5,13,8,23,2,58
4,,T,,2,,6,6,,15,12,31,14,36,5,131
5,MENTAL AND BEHAVIOURAL DISORDERS,M,,0,,1,1,,0,1,1,1,0,0,5
5,(F01-F99),F,,0,,0,0,,0,1,1,0,0,0,2
5,,T,,0,,1,1,,0,2,2,1,0,0,7
6,DISEASES OF THE NERVOUS SYSTEM,M,,8,,10,11,,8,4,4,2,10,5,71
6,(G00-G98),F,,3,,5,4,,6,4,4,0,6,0,46
6,,T,,11,,15,15,,14,8,8,2,16,5,117
7,DISEASES OF THE EYE AND ADNEXA,M,,0,,0,0,,0,0,0,0,0,0,0
7,(H00-H59),F,,0,,0,0,,0,0,0,0,0,0,0
7,,T,,0,,0,0,,0,0,0,0,0,0,0
8,DISEASES OF THE EAR AND MASTOID,M,,0,,0,0,,0,0,0,0,0,0,0
8,PROCESS (H60-H95),F,,0,,0,0,,0,0,0,0,0,0,0
8,,T,,0,,0,0,,0,0,0,0,0,0,0
9,DISEASES OF THE CIRCULATORY,M,,2,,11,25,,62,74,103,45,115,26,467
9,SYSTEM (I00-I99),F,,3,,7,16,,29,35,62,23,100,14,299
9,,T,,5,,18,41,,91,109,165,68,215,40,766
10,DISEASES OF THE RESPIRATORY,M,,13,,7,20,,26,22,36,14,58,9,274
10,SYSTEM (J00-J98),F,,10,,8,8,,14,13,21,7,29,8,175
10,,T,,23,,15,28,,40,35,57,21,87,17,449
11,DISEASES OF THE DIGESTIVE SYSTEM,M,,2,,14,53,,97,78,39,10,10,7,315
11,(K00-K92),F,,0,,5,9,,13,17,15,5,10,1,77
11,,T,,2,,19,62,,110,95,54,15,20,8,392
12,DISEASES OF THE SKIN AND,M,,0,,0,1,,1,2,0,0,1,0,5
12,SUBCUTANEOUS TISSUE (L00-L98),F,,0,,0,0,,1,0,0,0,0,0,1
12,,T,,0,,0,1,,2,2,0,0,1,0,6
13,DISEASES OF THE MUSCULOSKELETAL,M,,0,,0,2,,0,0,0,0,2,0,5
13,SYSTEM AND CONNECTIVE TISSUE,F,,1,,3,4,,3,0,0,0,3,0,15
13,(M00-M99),T,,1,,3,6,,3,0,0,0,5,0,20
14,DISEASES OF THE GENITOURINARY,M,,3,,10,9,,11,22,18,5,19,6,109
14,SYSTEM (N00-N99),F,,0,,2,9,,16,12,15,3,24,4,87
14,,T,,3,,12,18,,27,34,33,8,43,10,196
15,"PREGNANCY, CHILDBIRTH AND THE",F,,0,,14,18,,10,1,0,0,0,4,47
15,PUERPERIUM (O00-O99),T,,0,,14,18,,10,1,0,0,0,4,47
16,CERTAIN CONDITIONS ORIGINATING,M,,0,,0,0,,0,0,0,0,0,6,402
16,IN THE PERINATAL PERIOD (P00-P96),F,,0,,0,0,,0,0,0,0,0,0,280
16,,T,,0,,0,0,,0,0,0,0,0,6,682
17,"CONGENITAL MALFORMATIONS,",M,,0,,0,1,,0,0,0,0,0,0,9
17,DEFORMATIONS AND CHROMOSOMAL,F,,1,,1,0,,0,1,0,0,0,0,8
17,ABNORMALITIES (Q00-Q99),T,,1,,1,1,,0,1,0,0,0,0,17
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,,4,,15,30,,19,31,34,16,73,10,252
18,CLINICAL  AND LABORATORY FINDINGS,F,,5,,9,9,,13,13,19,9,99,6,195
18,N.E.C. (R00-R99),T,,9,,24,39,,32,44,53,25,172,16,447
19,"INJURY, POISONING AND CERTAIN OTHER",M,,7,,55,70,,58,34,25,3,12,17,304
19,CONSEQUENCES OF EXTERNAL,F,,9,,30,5,,6,7,3,1,15,2,90
19,CAUSES (S00-T98),T,,16,,85,75,,64,41,28,4,27,19,394
20,Codes for Special Purposes,M,,0,,1,1,,5,10,13,6,17,1,54
20,(U00-U49),F,,0,,1,3,,3,6,8,5,5,0,32
20,,T,,0,,2,4,,8,16,21,11,22,1,86
,,M,,52,,158,261,,366,397,393,141,388,107,2840
,A L L  C A U S E S,F,,42,,113,110,,161,173,214,76,357,53,1726
