ODISHA,,,,,,,,,,,,,,,
"Group
No.",CA U S E  O F   D E A T H,Sex,,1-4,5-14,15-24,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,,5,6,7,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,,83,74,158,228,,316,505,476,164,374,0,2378
1,DISEASES (A00-B99),F,,43,63,167,155,,167,256,255,114,205,0,1425
1,,T,,126,137,325,383,,483,761,731,278,579,0,3803
2,NEOPLASMS,M,,22,47,62,83,,125,259,264,96,163,0,1122
2,(C00-D48),F,,12,30,62,70,,148,265,196,59,92,0,936
2,,T,,34,77,124,153,,273,524,460,155,255,0,2058
3,DISEASES OF BLOOD & BLOOD FORMING,M,,41,60,132,84,,103,162,115,34,106,0,837
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,,24,72,179,157,,103,128,117,44,81,0,905
3,THE IMMUNE MECHANISM (D50-D89),T,,65,132,311,241,,206,290,232,78,187,0,1742
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,,11,13,32,67,,171,373,496,215,457,0,1835
4,DISEASES (E00-E89),F,,8,15,30,56,,82,212,278,122,242,0,1045
4,,T,,19,28,62,123,,253,585,774,337,699,0,2880
5,MENTAL AND BEHAVIOURAL DISORDERS,M,,4,2,28,35,,70,122,115,35,54,0,465
5,(F01-F99),F,,4,4,30,25,,39,45,44,9,23,0,223
5,,T,,8,6,58,60,,109,167,159,44,77,0,688
6,DISEASES OF THE NERVOUS SYSTEM,M,,68,80,73,94,,140,182,181,63,169,0,1050
6,(G00-G98),F,,52,57,67,44,,55,117,105,30,93,0,620
6,,T,,120,137,140,138,,195,299,286,93,262,0,1670
7,DISEASES OF THE EYE AND ADNEXA,M,,1,1,0,0,,0,0,0,0,0,0,2
7,(H00-H59),F,,0,0,0,0,,0,0,1,0,0,0,1
7,,T,,1,1,0,0,,0,0,1,0,0,0,3
8,DISEASES OF THE EAR AND MASTOID,M,,0,0,0,0,,0,1,0,1,0,0,2
8,PROCESS (H60-H95),F,,0,0,0,0,,1,0,0,0,0,0,1
8,,T,,0,0,0,0,,1,1,0,1,0,0,3
9,DISEASES OF THE CIRCULATORY,M,,39,49,124,301,,569,1553,1990,935,2272,0,7832
9,SYSTEM (I00-I99),F,,31,45,143,203,,352,887,1209,539,1446,0,4855
9,,T,,70,94,267,504,,921,2440,3199,1474,3718,0,12687
10,DISEASES OF THE RESPIRATORY,M,,75,55,125,237,,408,955,1171,506,1400,0,4932
10,SYSTEM (J00-J98),F,,63,52,116,139,,211,428,531,219,575,0,2334
10,,T,,138,107,241,376,,619,1383,1702,725,1975,0,7266
11,DISEASES OF THE DIGESTIVE SYSTEM,M,,20,26,75,236,,425,573,407,96,223,0,2081
11,(K00-K92),F,,16,12,38,45,,77,147,124,43,99,0,601
11,,T,,36,38,113,281,,502,720,531,139,322,0,2682
12,DISEASES OF THE SKIN AND,M,,0,0,5,2,,13,15,23,7,29,0,94
12,SUBCUTANEOUS TISSUE (L00-L98),F,,0,0,4,4,,6,10,18,5,18,0,65
12,,T,,0,0,9,6,,19,25,41,12,47,0,159
13,DISEASES OF THE MUSCULOSKELETAL,M,,0,1,3,5,,6,8,11,3,4,0,41
13,SYSTEM AND CONNECTIVE TISSUE,F,,0,4,15,14,,17,5,8,1,4,0,68
13,(M00-M99),T,,0,5,18,19,,23,13,19,4,8,0,109
14,DISEASES OF THE GENITOURINARY,M,,6,22,73,179,,367,671,819,273,546,0,2956
14,SYSTEM (N00-N99),F,,12,23,64,97,,151,274,311,129,219,0,1280
14,,T,,18,45,137,276,,518,945,1130,402,765,0,4236
15,"PREGNANCY, CHILDBIRTH AND THE",F,,0,0,89,107,,13,6,0,0,0,0,215
15,PUERPERIUM (O00-O99),T,,0,0,89,107,,13,6,0,0,0,0,215
16,CERTAIN CONDITIONS ORIGINATING,M,,0,0,0,0,,0,0,0,0,0,0,4655
16,IN THE PERINATAL PERIOD (P00-P96),F,,0,0,0,0,,0,0,0,0,0,0,3050
16,,T,,0,0,0,0,,0,0,0,0,0,0,7705
17,"CONGENITAL MALFORMATIONS,",M,,12,6,5,4,,5,21,15,9,46,0,123
17,DEFORMATIONS AND CHROMOSOMAL,F,,14,4,5,3,,2,9,13,6,15,0,71
17,ABNORMALITIES (Q00-Q99),T,,26,10,10,7,,7,30,28,15,61,0,194
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,,75,85,360,506,,534,901,883,320,751,0,4423
18,CLINICAL  AND LABORATORY FINDINGS,F,,51,64,290,287,,269,471,440,182,407,0,2466
18,N.E.C. (R00-R99),T,,126,149,650,793,,803,1372,1323,502,1158,0,6889
19,"INJURY, POISONING AND CERTAIN OTHER",M,,27,47,218,313,,264,331,297,81,142,0,1720
19,CONSEQUENCES OF EXTERNAL,F,,25,42,254,209,,151,180,169,39,87,0,1156
19,CAUSES (S00-T98),T,,52,89,472,522,,415,511,466,120,229,0,2876
20,Codes for Special Purposes,M,,1,3,13,45,,101,232,296,118,274,0,1084
20,(U00-U49),F,,1,2,12,24,,26,75,105,36,66,0,347
20,,T,,2,5,25,69,,127,307,401,154,340,0,1431
,,M,,485,571,1486,2419,,3617,6864,7559,2956,7010,0,37632
,A L L  C A U S E S,F,,356,489,1565,1639,,1870,3515,3924,1577,3672,0,21664
total,,T,,841,1060,3051,4058,,5487,10379,11483,4533,10682,0,59296
