JHARKHAND,,,,,,,,,,,,,,,
"Group
No.",CA U S E  O F   D E A T H,Sex,,1-4      5-14,,15-24,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,,5            6,,7,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,,8,,16,20,,26,30,33,37,40,0,236
1,DISEASES (A00-B99),F,,3,,18,17,,21,10,10,18,15,3,131
1,,T,,11,,34,37,,47,40,43,55,55,3,367
2,NEOPLASMS,M,,0,,0,4,,6,4,17,12,8,0,51
2,(C00-D48),F,,0,,0,2,,3,17,14,11,5,1,54
2,,T,,0,,0,6,,9,21,31,23,13,1,105
3,DISEASES OF BLOOD & BLOOD FORMING,M,,0,,1,1,,8,4,2,8,5,0,29
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,,0,,1,13,,10,18,7,12,8,3,72
3,THE IMMUNE MECHANISM (D50-D89),T,,0,,2,14,,18,22,9,20,13,3,101
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,,0,,0,0,,3,6,8,13,23,5,58
4,DISEASES (E00-E89),F,,0,,0,0,,4,3,16,13,28,5,69
4,,T,,0,,0,0,,7,9,24,26,51,10,127
5,MENTAL AND BEHAVIOURAL DISORDERS,M,,1,,0,0,,0,0,2,0,0,0,3
5,(F01-F99),F,,0,,0,0,,0,0,0,0,1,0,1
5,,T,,1,,0,0,,0,0,2,0,1,0,4
6,DISEASES OF THE NERVOUS SYSTEM,M,,0,,7,15,,18,30,30,24,37,12,176
6,(G00-G98),F,,1,,3,10,,3,7,32,20,23,7,107
6,,T,,1,,10,25,,21,37,62,44,60,19,283
7,DISEASES OF THE EYE AND ADNEXA,M,,0,,0,1,,0,1,0,1,1,0,4
7,(H00-H59),F,,0,,0,0,,0,0,2,0,1,0,3
7,,T,,0,,0,1,,0,1,2,1,2,0,7
8,DISEASES OF THE EAR AND MASTOID,M,,0,,0,0,,0,0,0,0,0,0,0
8,PROCESS (H60-H95),F,,0,,0,0,,0,0,0,0,0,0,0
8,,T,,0,,0,0,,0,0,0,0,0,0,0
9,DISEASES OF THE CIRCULATORY,M,,1,,45,116,,263,459,599,348,1022,22,2885
9,SYSTEM (I00-I99),F,,1,,40,65,,133,242,299,223,555,18,1596
9,,T,,2,,85,181,,396,701,898,571,1577,40,4481
10,DISEASES OF THE RESPIRATORY,M,,19,,2,5,,12,14,22,45,79,29,252
10,SYSTEM (J00-J98),F,,3,,2,2,,1,4,13,43,48,9,134
10,,T,,22,,4,7,,13,18,35,88,127,38,386
11,DISEASES OF THE DIGESTIVE SYSTEM,M,,0,,0,4,,3,4,23,26,28,10,100
11,(K00-K92),F,,0,,0,0,,2,8,22,31,30,11,104
11,,T,,0,,0,4,,5,12,45,57,58,21,204
12,DISEASES OF THE SKIN AND,M,,0,,0,1,,1,1,0,0,1,0,4
12,SUBCUTANEOUS TISSUE (L00-L98),F,,0,,0,0,,0,0,1,0,0,0,1
12,,T,,0,,0,1,,1,1,1,0,1,0,5
13,DISEASES OF THE MUSCULOSKELETAL,M,,0,,0,0,,0,0,0,1,0,0,2
13,SYSTEM AND CONNECTIVE TISSUE,F,,0,,0,0,,1,2,0,0,0,0,3
13,(M00-M99),T,,0,,0,0,,1,2,0,1,0,0,5
14,DISEASES OF THE GENITOURINARY,M,,2,,3,2,,8,7,9,29,39,17,117
14,SYSTEM (N00-N99),F,,0,,2,1,,3,4,10,17,39,15,91
14,,T,,2,,5,3,,11,11,19,46,78,32,208
15,"PREGNANCY, CHILDBIRTH AND THE",F,,0,,2,4,,6,1,0,0,0,0,13
15,PUERPERIUM (O00-O99),T,,0,,2,4,,6,1,0,0,0,0,13
16,CERTAIN CONDITIONS ORIGINATING,M,,0,,0,0,,0,0,0,0,0,0,44
16,IN THE PERINATAL PERIOD (P00-P96),F,,0,,0,0,,0,0,0,0,0,0,17
16,,T,,0,,0,0,,0,0,0,0,0,0,61
17,"CONGENITAL MALFORMATIONS,",M,,0,,0,0,,0,0,1,0,0,0,1
17,DEFORMATIONS AND CHROMOSOMAL,F,,0,,0,0,,0,0,1,0,0,0,1
17,ABNORMALITIES (Q00-Q99),T,,0,,0,0,,0,0,2,0,0,0,2
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,,1,,5,13,,14,22,36,26,35,19,176
18,CLINICAL  AND LABORATORY FINDINGS,F,,1,,3,8,,18,6,22,21,22,18,123
18,N.E.C. (R00-R99),T,,2,,8,21,,32,28,58,47,57,37,299
19,"INJURY, POISONING AND CERTAIN OTHER",M,,2,,6,8,,4,9,2,0,3,0,37
19,CONSEQUENCES OF EXTERNAL,F,,2,,16,12,,11,8,6,4,0,0,61
19,CAUSES (S00-T98),T,,4,,22,20,,15,17,8,4,3,0,98
20,Codes for Special Purposes,M,,0,,1,14,,37,85,106,48,137,0,428
20,(U00-U49),F,,0,,0,6,,7,25,43,20,28,0,129
20,,T,,0,,1,20,,44,110,149,68,165,0,557
,,M,,34,,86,204,,403,676,890,618,1458,114,4603
,A L L  C A U S E S,F,,11,,87,140,,223,355,498,433,803,90,2710
total,,T,,45,,173,344,,626,1031,1388,1051,2261,204,7313
