KARNATAKA,,,,,,,,,,,,,,,
Group No.,CA U S E  O F   D E A T H,Sex,,1-4,5-14,15-24,25-34,35-44,,45-54,55-64,65-69,70+,N.S.,
1,2,3,,5,6,7,8,9,,10,11,12,13,14,
1,CERTAIN INFECTIOUS AND PARASITIC,M,,75,139,268,562,1143,,1464,1355,810,1401,162,
1,DISEASES (A00-B99),F,,90,136,225,385,519,,668,751,400,944,76,
1,,T,,165,275,493,947,1662,,2132,2106,1210,2345,238,
2,NEOPLASMS,M,,27,128,177,284,644,,1195,1687,997,1750,216,
2,(C00-D48),F,,24,52,86,195,559,,1056,1196,623,1192,140,
2,,T,,51,180,263,479,1203,,2251,2883,1620,2942,356,
3,DISEASES OF BLOOD & BLOOD FORMING,M,,37,37,74,84,142,,187,183,92,243,44,
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,,20,37,100,101,111,,121,144,78,225,31,
3,THE IMMUNE MECHANISM (D50-D89),T,,57,74,174,185,253,,308,327,170,468,75,
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,,1,21,51,165,435,,1092,1778,1037,2327,249,
4,DISEASES (E00-E89),F,,3,29,48,75,221,,618,1104,696,1774,118,
4,,T,,4,50,99,240,656,,1710,2882,1733,4101,367,
5,MENTAL AND BEHAVIOURAL DISORDERS,M,,0,0,6,20,27,,33,75,32,61,23,
5,(F01-F99),F,,0,0,3,2,6,,2,34,20,26,2,
5,,T,,0,0,9,22,33,,35,109,52,87,25,
6,DISEASES OF THE NERVOUS SYSTEM,M,,42,80,115,171,341,,482,392,208,667,82,
6,(G00-G98),F,,25,55,89,87,115,,173,154,103,395,40,
6,,T,,67,135,204,258,456,,655,546,311,1062,122,
7,DISEASES OF THE EYE AND ADNEXA,M,,0,0,0,0,0,,0,1,0,0,0,
7,(H00-H59),F,,0,0,0,0,0,,0,0,1,0,0,
7,,T,,0,0,0,0,0,,0,1,1,0,0,
8,DISEASES OF THE EAR AND MASTOID,M,,0,0,0,0,0,,1,1,0,0,0,
8,PROCESS (H60-H95),F,,0,0,0,0,0,,0,0,0,0,0,
8,,T,,0,0,0,0,0,,1,1,0,0,0,
9,DISEASES OF THE CIRCULATORY,M,,5,12,460,1232,2499,,5006,6525,3908,8775,767,
9,SYSTEM (I00-I99),F,,3,7,295,521,988,,2092,3298,2348,6646,379,
9,,T,,8,19,755,1753,3487,,7098,9823,6256,15421,1146,
10,DISEASES OF THE RESPIRATORY,M,,34,98,254,597,966,,1862,2443,1424,3339,525,
10,SYSTEM (J00-J98),F,,28,87,207,297,418,,777,1208,658,1842,203,
10,,T,,62,185,461,894,1384,,2639,3651,2082,5181,728,
11,DISEASES OF THE DIGESTIVE SYSTEM,M,,13,44,173,611,1187,,1688,1010,337,531,202,
11,(K00-K92),F,,12,25,120,112,155,,330,225,101,313,39,
11,,T,,25,69,293,723,1342,,2018,1235,438,844,241,
12,DISEASES OF THE SKIN AND,M,,0,3,1,7,26,,58,64,29,67,24,
12,SUBCUTANEOUS TISSUE (L00-L98),F,,0,1,3,7,7,,13,40,11,38,9,
12,,T,,0,4,4,14,33,,71,104,40,105,33,
13,DISEASES OF THE MUSCULOSKELETAL,M,,0,2,3,3,7,,8,8,6,21,3,
13,SYSTEM AND CONNECTIVE TISSUE,F,,0,1,4,8,6,,1,9,6,20,2,
13,(M00-M99),T,,0,3,7,11,13,,9,17,12,41,5,
14,DISEASES OF THE GENITOURINARY,M,,0,31,114,229,447,,904,1139,677,1470,198,
14,SYSTEM (N00-N99),F,,1,33,81,133,209,,441,558,348,817,79,
14,,T,,1,64,195,362,656,,1345,1697,1025,2287,277,
15,"PREGNANCY, CHILDBIRTH AND THE",F,,0,0,100,117,26,,10,0,0,0,0,
15,PUERPERIUM (O00-O99),T,,0,0,100,117,26,,10,0,0,0,0,
16,CERTAIN CONDITIONS ORIGINATING,M,,0,0,0,0,0,,0,0,0,0,0,
16,IN THE PERINATAL PERIOD (P00-P96),F,,0,0,0,0,0,,0,0,0,0,0,
16,,T,,0,0,0,0,0,,0,0,0,0,0,
17,"CONGENITAL MALFORMATIONS,",M,,178,201,0,0,0,,0,0,0,0,0,
17,DEFORMATIONS AND CHROMOSOMAL,F,,125,125,0,0,0,,0,0,0,0,0,
17,ABNORMALITIES (Q00-Q99),T,,303,326,0,0,0,,0,0,0,0,0,
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,,19,17,45,91,144,,286,334,181,1705,291,
18,CLINICAL  AND LABORATORY FINDINGS,F,,13,8,37,48,93,,196,80,134,1514,165,
18,N.E.C. (R00-R99),T,,32,25,82,139,237,,482,414,315,3219,456,
19,"INJURY, POISONING AND CERTAIN OTHER",M,,47,106,654,1117,974,,947,708,271,432,31,
19,CONSEQUENCES OF EXTERNAL,F,,37,82,298,326,264,,277,250,117,292,9,
19,CAUSES (S00-T98),T,,84,188,952,1443,1238,,1224,958,388,724,40,
20,Codes for Special Purposes,M,,6,12,75,294,856,,1785,2775,1680,3350,405,
20,(U00-U49),F,,7,6,50,99,277,,650,1099,634,1258,143,
20,,T,,13,18,125,393,1133,,2435,3874,2314,4608,548,
,,M,,484,931,2470,5467,9838,,16998,20478,11689,26139,3222,
,A L L  C A U S E S,F,,388,684,1746,2513,3974,,7425,10150,6278,17296,1435,
total,,t,,872,1615,4216,7980,13812,0,24423,30628,17967,43435,4657,
