MIZORAM,,,,,,,,,,,,,,,
Group No.,CA U S E  O F   D E A T H,Sex,<1,1-4      5-14,,15-24,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,4,5            6,,7,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,29,3,,14,68,,77,45,21,9,30,0,309
1,DISEASES (A00-B99),F,18,10,,20,18,,34,30,19,7,25,0,188
1,,T,47,13,,34,86,,111,75,40,16,55,0,497
2,NEOPLASMS,M,1,5,,4,6,,23,58,85,17,61,2,267
2,(C00-D48),F,1,3,,1,7,,19,30,36,14,44,0,158
2,,T,2,8,,5,13,,42,88,121,31,105,2,425
3,DISEASES OF BLOOD & BLOOD FORMING,M,2,0,,1,2,,2,2,0,0,1,0,12
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,4,0,,0,4,,2,1,0,0,3,0,15
3,THE IMMUNE MECHANISM (D50-D89),T,6,0,,1,6,,4,3,0,0,4,0,27
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,3,0,,4,7,,7,8,5,5,8,0,48
4,DISEASES (E00-E89),F,0,0,,0,3,,5,5,2,5,8,0,28
4,,T,3,0,,4,10,,12,13,7,10,16,0,76
5,MENTAL AND BEHAVIOURAL DISORDERS,M,0,0,,0,2,,3,0,0,0,0,0,5
5,(F01-F99),F,0,0,,0,0,,0,0,0,0,0,0,0
5,,T,0,0,,0,2,,3,0,0,0,0,0,5
6,DISEASES OF THE NERVOUS SYSTEM,M,7,1,,2,4,,8,0,4,1,4,0,31
6,(G00-G98),F,4,1,,3,3,,2,0,3,1,4,0,25
6,,T,11,2,,5,7,,10,0,7,2,8,0,56
7,DISEASES OF THE EYE AND ADNEXA,M,0,0,,0,0,,0,0,1,0,0,0,1
7,(H00-H59),F,0,0,,0,0,,0,0,0,0,0,0,0
7,,T,0,0,,0,0,,0,0,1,0,0,0,1
8,DISEASES OF THE EAR AND MASTOID,M,0,0,,0,0,,0,0,0,0,0,0,0
8,PROCESS (H60-H95),F,0,0,,0,0,,0,0,0,0,0,0,0
8,,T,0,0,,0,0,,0,0,0,0,0,0,0
9,DISEASES OF THE CIRCULATORY,M,11,5,,13,32,,62,49,67,37,121,0,399
9,SYSTEM (I00-I99),F,12,0,,5,14,,15,17,37,14,67,0,183
9,,T,23,5,,18,46,,77,66,104,51,188,0,582
10,DISEASES OF THE RESPIRATORY,M,29,5,,15,19,,28,34,25,25,92,0,274
10,SYSTEM (J00-J98),F,34,2,,7,9,,10,11,19,11,85,0,196
10,,T,63,7,,22,28,,38,45,44,36,177,0,470
11,DISEASES OF THE DIGESTIVE SYSTEM,M,9,1,,13,61,,137,130,44,15,24,0,434
11,(K00-K92),F,3,0,,4,18,,34,29,19,4,11,0,124
11,,T,12,1,,17,79,,171,159,63,19,35,0,558
12,DISEASES OF THE SKIN AND,M,0,0,,0,0,,1,0,1,0,0,0,2
12,SUBCUTANEOUS TISSUE (L00-L98),F,0,0,,0,0,,0,0,0,0,0,0,0
12,,T,0,0,,0,0,,1,0,1,0,0,0,2
13,DISEASES OF THE MUSCULOSKELETAL,M,0,0,,0,0,,0,0,0,0,0,0,0
13,SYSTEM AND CONNECTIVE TISSUE,F,0,0,,2,2,,1,2,0,0,1,0,8
13,(M00-M99),T,0,0,,2,2,,1,2,0,0,1,0,8
14,DISEASES OF THE GENITOURINARY,M,2,0,,5,9,,13,19,15,6,19,0,89
14,SYSTEM (N00-N99),F,1,0,,3,3,,10,12,10,9,9,0,59
14,,T,3,0,,8,12,,23,31,25,15,28,0,148
15,"PREGNANCY, CHILDBIRTH AND THE",F,0,0,,0,6,,2,0,0,0,0,0,8
15,PUERPERIUM (O00-O99),T,0,0,,0,6,,2,0,0,0,0,0,8
16,CERTAIN CONDITIONS ORIGINATING,M,75,0,,0,0,,0,0,0,0,0,1,76
16,IN THE PERINATAL PERIOD (P00-P96),F,64,0,,0,0,,0,0,0,0,0,0,64
16,,T,139,0,,0,0,,0,0,0,0,0,1,140
17,"CONGENITAL MALFORMATIONS,",M,12,4,,0,0,,0,1,0,0,0,0,17
17,DEFORMATIONS AND CHROMOSOMAL,F,6,0,,0,0,,1,1,0,0,0,0,8
17,ABNORMALITIES (Q00-Q99),T,18,4,,0,0,,1,2,0,0,0,0,25
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,13,3,,4,12,,17,12,17,11,24,0,116
18,CLINICAL  AND LABORATORY FINDINGS,F,12,4,,6,7,,9,8,7,3,14,0,70
18,N.E.C. (R00-R99),T,25,7,,10,19,,26,20,24,14,38,0,186
19,"INJURY, POISONING AND CERTAIN OTHER",M,3,2,,9,15,,14,14,8,4,9,0,80
19,CONSEQUENCES OF EXTERNAL,F,2,2,,1,0,,4,8,6,0,4,0,27
19,CAUSES (S00-T98),T,5,4,,10,15,,18,22,14,4,13,0,107
20,Codes for Special Purposes,M,0,0,,0,0,,3,0,0,1,3,0,7
20,(U00-U49),F,0,0,,0,0,,0,0,0,0,1,0,1
20,,T,0,0,,0,0,,3,0,0,1,4,0,8
,,M,196,29,,84,237,,395,372,293,131,396,3,2167
,A L L  C A U S E S,F,161,22,,52,94,,148,154,158,68,276,0,1162
total,,T,357,51,,136,331,,543,526,451,199,672,3,3329
