TAMIL NADU,,,,,,,,,,,,,,,
"Group
No.",CA U S E  O F   D E A T H,Sex,<1,1-4,5-14,15-24,25-34,35-44,,45-54,55-64,65-69,70+,,TOTAL
1,2,3,4,5,6,7,8,9,,10,11,12,13,,15
1,CERTAIN INFECTIOUS AND PARASITIC,M,228,77,100,228,520,1060,,1632,1895,907,1925,,8717
1,DISEASES (A00-B99),F,190,69,91,246,304,443,,693,972,508,1234,,4828
1,,T,418,146,191,474,824,1503,,2325,2867,1415,3159,,13545
2,NEOPLASMS,M,3,11,36,75,111,336,,787,1074,583,1167,,4199
2,(C00-D48),F,0,13,27,60,111,367,,786,995,420,856,,3645
2,,T,3,24,63,135,222,703,,1573,2069,1003,2023,,7844
3,DISEASES OF BLOOD & BLOOD FORMING,M,8,1,10,18,31,37,,54,80,36,149,,429
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,2,4,10,34,29,46,,61,70,46,149,,453
3,THE IMMUNE MECHANISM (D50-D89),T,10,5,20,52,60,83,,115,150,82,298,,882
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,21,12,17,66,202,642,,1671,2757,1500,3692,,10944
4,DISEASES (E00-E89),F,13,9,20,69,119,296,,1060,1994,1125,2812,,7702
4,,T,34,21,37,135,321,938,,2731,4751,2625,6504,,18646
5,MENTAL AND BEHAVIOURAL DISORDERS,M,0,1,3,15,25,43,,58,53,18,50,,267
5,(F01-F99),F,3,4,2,12,5,7,,15,24,6,29,,107
5,,T,3,5,5,27,30,50,,73,77,24,79,,374
6,DISEASES OF THE NERVOUS SYSTEM,M,25,23,38,83,122,218,,290,366,185,465,,1852
6,(G00-G98),F,24,24,32,67,76,79,,133,180,127,327,,1085
6,,T,49,47,70,150,198,297,,423,546,312,792,,2937
7,DISEASES OF THE EYE AND ADNEXA,M,0,1,0,1,1,7,,6,4,4,14,,38
7,(H00-H59),F,0,0,0,3,2,1,,3,6,0,6,,21
7,,T,0,1,0,4,3,8,,9,10,4,20,,59
8,DISEASES OF THE EAR AND MASTOID,M,0,0,0,1,3,1,,3,7,3,7,,25
8,PROCESS (H60-H95),F,0,0,0,0,1,0,,2,2,5,18,,28
8,,T,0,0,0,1,4,1,,5,9,8,25,,53
9,DISEASES OF THE CIRCULATORY,M,298,78,229,803,2347,5952,,12932,19700,10608,32752,,86113
9,SYSTEM (I00-I99),F,250,104,194,589,1038,2411,,5963,10948,7319,28297,,57340
9,,T,548,182,423,1392,3385,8363,,18895,30648,17927,61049,,143453
10,DISEASES OF THE RESPIRATORY,M,257,67,121,394,788,1478,,2943,4293,2163,5604,,18438
10,SYSTEM (J00-J98),F,252,59,116,327,372,677,,1241,1902,1102,3243,,9440
10,,T,509,126,237,721,1160,2155,,4184,6195,3265,8847,,27878
11,DISEASES OF THE DIGESTIVE SYSTEM,M,11,13,26,92,283,711,,960,888,357,784,,4154
11,(K00-K92),F,9,16,12,74,75,131,,256,311,213,444,,1551
11,,T,20,29,38,166,358,842,,1216,1199,570,1228,,5705
12,DISEASES OF THE SKIN AND,M,1,0,3,1,7,15,,21,26,21,33,,131
12,SUBCUTANEOUS TISSUE (L00-L98),F,2,1,1,1,4,12,,17,18,8,30,,95
12,,T,3,1,4,2,11,27,,38,44,29,63,,226
13,DISEASES OF THE MUSCULOSKELETAL,M,0,1,2,3,2,10,,12,16,12,28,,95
13,SYSTEM AND CONNECTIVE TISSUE,F,1,1,4,3,2,7,,10,19,4,24,,78
13,(M00-M99),T,1,2,6,6,4,17,,22,35,16,52,,173
14,DISEASES OF THE GENITOURINARY,M,10,16,36,137,255,514,,1006,1322,591,1518,,5436
14,SYSTEM (N00-N99),F,13,8,29,77,105,221,,438,679,395,1034,,3013
14,,T,23,24,65,214,360,735,,1444,2001,986,2552,,8449
15,"PREGNANCY, CHILDBIRTH AND THE",F,0,0,0,43,52,17,,1,0,0,0,,117
15,PUERPERIUM (O00-O99),T,0,0,0,43,52,17,,1,0,0,0,,117
16,CERTAIN CONDITIONS ORIGINATING,M,3376,0,0,0,0,0,,0,0,0,0,,3379
16,IN THE PERINATAL PERIOD (P00-P96),F,2337,0,0,0,0,0,,0,0,0,0,,2338
16,,T,5713,0,0,0,0,0,,0,0,0,0,,5717
