ASSAM,,,,,,,,,,,,,,,
Group No.,CA U S E  O F   D E A T H,Sex,<1,1-4,5-14,15-24,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,4,5,6,7,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,110,142,160,120,541,,413,723,484,398,258,0,3349
1,DISEASES (A00-B99),F,101,83,63,138,0,,0,299,130,260,47,0,1121
1,,T,211,225,223,258,541,,413,1022,614,658,305,0,4470
2,NEOPLASMS,M,0,0,0,0,397,,77,506,398,185,187,0,1750
2,(C00-D48),F,0,0,0,7,0,,0,176,77,63,7,0,330
2,,T,0,0,0,7,397,,77,682,475,248,194,0,2080
3,DISEASES OF BLOOD & BLOOD FORMING,M,8,8,3,5,31,,30,63,82,31,68,0,329
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,4,5,2,1,0,,0,0,13,0,0,0,25
3,THE IMMUNE MECHANISM (D50-D89),T,12,13,5,6,31,,30,63,95,31,68,0,354
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,6,4,10,11,420,,713,872,981,1277,382,0,4676
4,DISEASES (E00-E89),F,6,5,1,4,0,,0,177,1115,871,0,0,2179
4,,T,12,9,11,15,420,,713,1049,2096,2148,382,0,6855
5,MENTAL AND BEHAVIOURAL DISORDERS,M,0,0,0,0,22,,17,49,15,27,0,0,130
5,(F01-F99),F,0,0,0,0,0,,0,35,5,31,0,0,71
5,,T,0,0,0,0,22,,17,84,20,58,0,0,201
6,DISEASES OF THE NERVOUS SYSTEM,M,18,67,43,14,82,,99,51,63,89,81,0,607
6,(G00-G98),F,10,57,30,5,0,,0,15,5,50,0,0,172
6,,T,28,124,73,19,82,,99,66,68,139,81,0,779
7,DISEASES OF THE EYE AND ADNEXA,M,0,0,0,0,0,,0,0,0,0,0,0,0
7,(H00-H59),F,0,0,0,0,0,,0,0,0,0,0,0,0
7,,T,0,0,0,0,0,,0,0,0,0,0,0,0
8,DISEASES OF THE EAR AND MASTOID,M,0,0,0,0,0,,0,0,0,0,0,0,0
8,PROCESS (H60-H95),F,0,0,0,0,0,,0,0,0,0,0,0,0
8,,T,0,0,0,0,0,,0,0,0,0,0,0,0
9,DISEASES OF THE CIRCULATORY,M,18,74,17,10,210,,943,3290,1781,1947,1867,24,10181
9,SYSTEM (I00-I99),F,7,49,29,6,0,,0,193,314,4689,0,11,5298
9,,T,25,123,46,16,210,,943,3483,2095,6636,1867,35,15479
10,DISEASES OF THE RESPIRATORY,M,137,55,5,19,398,,208,395,0,600,72,0,1889
10,SYSTEM (J00-J98),F,86,26,5,16,0,,0,0,53,0,0,0,186
10,,T,223,81,10,35,398,,208,395,53,600,72,0,2075
11,DISEASES OF THE DIGESTIVE SYSTEM,M,0,26,0,7,172,,211,931,0,0,0,0,1347
11,(K00-K92),F,0,26,0,5,0,,0,422,46,0,0,0,499
11,,T,0,52,0,12,172,,211,1353,46,0,0,0,1846
12,DISEASES OF THE SKIN AND,M,0,0,0,0,0,,0,0,0,0,0,0,0
12,SUBCUTANEOUS TISSUE (L00-L98),F,0,0,0,0,0,,0,0,0,0,0,0,0
12,,T,0,0,0,0,0,,0,0,0,0,0,0,0
13,DISEASES OF THE MUSCULOSKELETAL,M,0,0,0,0,0,,0,0,0,0,0,0,0
13,SYSTEM AND CONNECTIVE TISSUE,F,0,0,0,0,0,,0,0,0,0,0,0,0
13,(M00-M99),T,0,0,0,0,0,,0,0,0,0,0,0,0
14,DISEASES OF THE GENITOURINARY,M,0,2,0,0,58,,24,38,0,0,0,0,122
14,SYSTEM (N00-N99),F,0,0,0,0,11,,0,2,2,19,0,0,34
14,,T,0,2,0,0,69,,24,40,2,19,0,0,156
15,"PREGNANCY, CHILDBIRTH AND THE",F,0,0,0,0,4,,32,130,0,0,0,21,187
15,PUERPERIUM (O00-O99),T,0,0,0,0,4,,32,130,0,0,0,21,187
16,CERTAIN CONDITIONS ORIGINATING,M,109,0,0,0,0,,0,0,0,0,0,0,109
