BIHAR,,,,,,,,,,,,,,,
Group No.,CA U S E  O F   D E A T H,Sex,,1-4,5-14,15-24,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,,5,6,7,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,,15,22,28,52,,85,84,117,68,152,0,656
1,DISEASES (A00-B99),F,,17,17,29,46,,48,52,65,34,91,0,413
1,,T,,32,39,57,98,,133,136,182,102,243,0,1069
2,NEOPLASMS,M,,0,0,1,0,,4,5,9,8,8,0,36
2,(C00-D48),F,,0,0,1,2,,9,7,10,6,5,0,40
2,,T,,0,0,2,2,,13,12,19,14,13,0,76
3,DISEASES OF BLOOD & BLOOD FORMING,M,,1,1,2,2,,6,7,8,2,4,0,33
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,,1,1,5,7,,6,6,3,2,2,0,33
3,THE IMMUNE MECHANISM (D50-D89),T,,2,2,7,9,,12,13,11,4,6,0,66
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,,0,1,2,1,,11,10,12,8,11,0,57
4,DISEASES (E00-E89),F,,0,1,2,1,,1,2,4,1,3,0,15
4,,T,,0,2,4,2,,12,12,16,9,14,0,72
5,MENTAL AND BEHAVIOURAL DISORDERS,M,,2,1,2,2,,3,1,6,3,3,0,34
5,(F01-F99),F,,1,2,0,3,,2,2,3,2,2,0,21
5,,T,,3,3,2,5,,5,3,9,5,5,0,55
6,DISEASES OF THE NERVOUS SYSTEM,M,,6,7,10,15,,18,22,23,9,11,0,130
6,(G00-G98),F,,3,6,4,13,,8,9,3,3,4,0,55
6,,T,,9,13,14,28,,26,31,26,12,15,0,185
7,DISEASES OF THE EYE AND ADNEXA,M,,0,0,0,1,,9,2,6,3,7,0,28
7,(H00-H59),F,,0,0,0,1,,4,1,3,3,5,0,17
7,,T,,0,0,0,2,,13,3,9,6,12,0,45
8,DISEASES OF THE EAR AND MASTOID,M,,0,0,0,0,,0,2,0,0,0,0,4
8,PROCESS (H60-H95),F,,0,0,1,0,,0,0,0,0,0,0,3
8,,T,,0,0,1,0,,0,2,0,0,0,0,7
9,DISEASES OF THE CIRCULATORY,M,,43,54,212,332,,443,652,727,352,629,0,3495
9,SYSTEM (I00-I99),F,,34,49,164,219,,276,312,388,187,314,0,1970
9,,T,,77,103,376,551,,719,964,1115,539,943,0,5465
10,DISEASES OF THE RESPIRATORY,M,,4,1,11,8,,28,29,32,18,61,0,202
10,SYSTEM (J00-J98),F,,1,2,6,11,,17,20,24,12,48,0,143
10,,T,,5,3,17,19,,45,49,56,30,109,0,345
11,DISEASES OF THE DIGESTIVE SYSTEM,M,,0,2,5,2,,11,9,13,1,4,0,49
11,(K00-K92),F,,0,1,3,3,,4,6,6,3,3,0,32
11,,T,,0,3,8,5,,15,15,19,4,7,0,81
12,DISEASES OF THE SKIN AND,M,,1,2,3,3,,6,7,2,3,5,0,39
12,SUBCUTANEOUS TISSUE (L00-L98),F,,0,3,2,2,,2,4,2,2,3,0,23
12,,T,,1,5,5,5,,8,11,4,5,8,0,62
13,DISEASES OF THE MUSCULOSKELETAL,M,,0,0,1,0,,1,1,1,1,4,0,11
13,SYSTEM AND CONNECTIVE TISSUE,F,,1,2,0,1,,1,1,0,0,1,0,7
13,(M00-M99),T,,1,2,1,1,,2,2,1,1,5,0,18
14,DISEASES OF THE GENITOURINARY,M,,37,71,149,267,,372,382,300,145,312,0,2462
14,SYSTEM (N00-N99),F,,46,64,135,172,,247,227,222,88,155,0,1568
14,,T,,83,135,284,439,,619,609,522,233,467,0,4030
15,"PREGNANCY, CHILDBIRTH AND THE",F,,0,0,16,5,,4,9,0,0,0,0,34
15,PUERPERIUM (O00-O99),T,,0,0,16,5,,4,9,0,0,0,0,34
16,CERTAIN CONDITIONS ORIGINATING,M,,0,0,0,0,,0,0,0,0,0,0,112
16,IN THE PERINATAL PERIOD (P00-P96),F,,0,0,0,0,,0,0,0,0,0,0,60
16,,T,,0,0,0,0,,0,0,0,0,0,0,172
17,"CONGENITAL MALFORMATIONS,",M,,0,0,1,0,,2,1,3,0,2,0,9
17,DEFORMATIONS AND CHROMOSOMAL,F,,0,0,0,0,,2,2,1,0,0,0,6
17,ABNORMALITIES (Q00-Q99),T,,0,0,1,0,,4,3,4,0,2,0,15
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,,38,33,46,70,,122,129,147,76,160,0,861
18,CLINICAL  AND LABORATORY FINDINGS,F,,30,42,59,50,,68,64,110,54,104,0,605
18,N.E.C. (R00-R99),T,,68,75,105,120,,190,193,257,130,264,0,1466
19,"INJURY, POISONING AND CERTAIN OTHER",M,,3,4,12,14,,10,14,5,2,5,0,79
19,CONSEQUENCES OF EXTERNAL,F,,4,7,35,47,,22,20,19,6,19,0,184
19,CAUSES (S00-T98),T,,7,11,47,61,,32,34,24,8,24,0,263
20,Codes for Special Purposes,M,,2,1,6,26,,71,170,232,116,218,0,842
20,(U00-U49),F,,0,0,6,7,,16,55,70,26,43,0,223
20,,T,,2,1,12,33,,87,225,302,142,261,0,1065
,,M,,152,200,491,795,,1202,1527,1643,815,1596,0,9139
,A L L  C A U S E S,F,,138,197,468,590,,737,799,933,429,802,0,5452
,,T,,290,397,959,1385,,1939,2326,2576,1244,2398,0,14591
