CHANDIGARH,,,,,,,,,,,,,,,
"Group
No.",CA U S E  O F   D E A T H,Sex,,1-4,5-14,15-24,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,,5,6,7,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,,22,35,32,67,,54,77,78,38,64,0,490
1,DISEASES (A00-B99),F,,18,34,45,40,,43,50,48,29,52,0,374
1,,T,,40,69,77,107,,97,127,126,67,116,0,864
2,NEOPLASMS,M,,6,16,17,21,,32,43,67,29,49,0,281
2,(C00-D48),F,,7,10,10,22,,31,61,58,25,29,0,255
2,,T,,13,26,27,43,,63,104,125,54,78,0,536
3,DISEASES OF BLOOD & BLOOD FORMING,M,,12,5,13,10,,11,14,12,3,4,0,87
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,,3,31,9,14,,10,9,11,3,2,0,94
3,THE IMMUNE MECHANISM (D50-D89),T,,15,36,22,24,,21,23,23,6,6,0,181
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,,6,2,6,15,,22,30,46,22,39,0,191
4,DISEASES (E00-E89),F,,9,6,10,11,,16,31,36,21,24,0,167
4,,T,,15,8,16,26,,38,61,82,43,63,0,358
5,MENTAL AND BEHAVIOURAL DISORDERS,M,,0,0,0,8,,1,8,9,3,4,0,33
5,(F01-F99),F,,0,0,0,0,,0,0,0,0,2,0,2
5,,T,,0,0,0,8,,1,8,9,3,6,0,35
6,DISEASES OF THE NERVOUS SYSTEM,M,,17,15,22,17,,26,36,21,10,19,0,188
6,(G00-G98),F,,12,6,9,8,,18,16,15,10,13,3,114
6,,T,,29,21,31,25,,44,52,36,20,32,3,302
7,DISEASES OF THE EYE AND ADNEXA,M,,0,0,0,0,,1,2,1,0,0,0,4
7,(H00-H59),F,,0,0,0,0,,0,1,0,0,0,0,2
7,,T,,0,0,0,0,,1,3,1,0,0,0,6
8,DISEASES OF THE EAR AND MASTOID,M,,0,0,0,0,,0,0,0,0,1,0,1
8,PROCESS (H60-H95),F,,0,0,0,0,,0,0,1,0,0,0,1
8,,T,,0,0,0,0,,0,0,1,0,1,0,2
9,DISEASES OF THE CIRCULATORY,M,,11,36,83,168,,240,409,451,216,410,2,2069
9,SYSTEM (I00-I99),F,,10,13,48,118,,80,162,214,138,254,0,1057
9,,T,,21,49,131,286,,320,571,665,354,664,2,3126
10,DISEASES OF THE RESPIRATORY,M,,26,15,41,44,,88,145,167,87,172,3,822
10,SYSTEM (J00-J98),F,,13,21,38,28,,45,70,104,50,72,1,467
10,,T,,39,36,79,72,,133,215,271,137,244,4,1289
11,DISEASES OF THE DIGESTIVE SYSTEM,M,,21,16,50,149,,265,286,220,85,102,0,1210
11,(K00-K92),F,,15,21,34,75,,139,155,136,60,59,0,703
11,,T,,36,37,84,224,,404,441,356,145,161,0,1913
12,DISEASES OF THE SKIN AND,M,,0,0,5,0,,1,3,6,1,0,0,17
12,SUBCUTANEOUS TISSUE (L00-L98),F,,1,0,0,5,,1,1,1,1,0,0,10
12,,T,,1,0,5,5,,2,4,7,2,0,0,27
13,DISEASES OF THE MUSCULOSKELETAL,M,,1,0,7,3,,1,8,6,1,3,0,31
13,SYSTEM AND CONNECTIVE TISSUE,F,,0,0,7,13,,12,7,4,0,4,0,47
13,(M00-M99),T,,1,0,14,16,,13,15,10,1,7,0,78
14,DISEASES OF THE GENITOURINARY,M,,8,8,20,26,,37,78,92,44,75,1,390
14,SYSTEM (N00-N99),F,,3,11,14,14,,32,65,61,41,37,0,281
14,,T,,11,19,34,40,,69,143,153,85,112,1,671
15,"PREGNANCY, CHILDBIRTH AND THE",F,,0,0,19,31,,5,3,0,0,0,0,58
15,PUERPERIUM (O00-O99),T,,0,0,19,31,,5,3,0,0,0,0,58
16,CERTAIN CONDITIONS ORIGINATING,M,,0,0,0,0,,0,0,0,0,0,0,508
16,IN THE PERINATAL PERIOD (P00-P96),F,,0,0,0,0,,0,0,0,0,0,0,323
16,,T,,0,0,0,0,,0,0,0,0,0,0,831
17,"CONGENITAL MALFORMATIONS,",M,,66,2,5,2,,2,2,0,0,2,0,230
17,DEFORMATIONS AND CHROMOSOMAL,F,,26,2,3,2,,3,3,0,1,0,0,120
17,ABNORMALITIES (Q00-Q99),T,,92,4,8,4,,5,5,0,1,2,0,350
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,,18,17,27,44,,39,59,69,27,66,0,431
18,CLINICAL  AND LABORATORY FINDINGS,F,,16,49,30,36,,32,38,56,21,45,0,361
18,N.E.C. (R00-R99),T,,34,66,57,80,,71,97,125,48,111,0,792
19,"INJURY, POISONING AND CERTAIN OTHER",M,,0,1,26,45,,46,25,23,10,14,0,193
19,CONSEQUENCES OF EXTERNAL,F,,0,4,12,9,,11,4,11,4,7,0,62
19,CAUSES (S00-T98),T,,0,5,38,54,,57,29,34,14,21,0,255
20,Codes for Special Purposes,M,,4,1,11,36,,53,74,72,35,55,0,350
20,(U00-U49),F,,3,6,10,14,,21,41,34,18,24,0,176
20,,T,,7,7,21,50,,74,115,106,53,79,0,526
,,M,,218,169,365,655,,919,1299,1340,611,1079,6,7526
,A L L  C A U S E S,F,,136,214,298,440,,499,717,790,422,624,4,4674
,,T,,354,383,663,1095,,1418,2016,2130,1033,1703,10,12200
139,,,,,,,,,,,,,,,
