CHHATTISGARH,,,,,,,,,,,,,,,
Major,,,,,,,,,,,,,,,
AGE GROUPS,,,,,,,,,,,,,,,
"Group
No.",CA U S E  O F   D E A T H,Sex,,1-4,5-14,15-24,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,,5,6,7,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,,36,60,240,280,,245,115,285,132,260,42,1952
1,DISEASES (A00-B99),F,,33,57,123,128,,158,154,164,73,118,29,1273
1,,T,,69,117,363,408,,403,269,449,205,378,71,3225
2,NEOPLASMS,M,,4,23,62,95,,101,38,125,50,65,1,578
2,(C00-D48),F,,3,14,37,66,,158,20,114,24,45,1,484
2,,T,,7,37,99,161,,259,58,239,74,110,2,1062
3,DISEASES OF BLOOD & BLOOD FORMING,M,,16,19,59,57,,60,60,59,28,37,6,428
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,,6,22,66,50,,71,69,40,19,26,6,406
3,THE IMMUNE MECHANISM (D50-D89),T,,22,41,125,107,,131,129,99,47,63,12,834
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,,1,7,35,49,,99,9,105,49,74,5,441
4,DISEASES (E00-E89),F,,1,5,9,31,,54,5,58,43,46,6,266
4,,T,,2,12,44,80,,153,14,163,92,120,11,707
5,MENTAL AND BEHAVIOURAL DISORDERS,M,,0,0,12,18,,18,4,12,5,2,0,72
5,(F01-F99),F,,0,0,2,1,,5,1,2,2,5,0,19
5,,T,,0,0,14,19,,23,5,14,7,7,0,91
6,DISEASES OF THE NERVOUS SYSTEM,M,,9,11,20,32,,17,14,16,4,21,2,168
6,(G00-G98),F,,9,11,15,8,,30,10,12,8,14,1,138
6,,T,,18,22,35,40,,47,24,28,12,35,3,306
7,DISEASES OF THE EYE AND ADNEXA,M,,1,0,1,2,,0,1,1,1,0,0,7
7,(H00-H59),F,,0,0,0,0,,0,0,0,0,0,0,0
7,,T,,1,0,1,2,,0,1,1,1,0,0,7
8,DISEASES OF THE EAR AND MASTOID,M,,0,0,0,2,,1,0,0,0,1,0,4
8,PROCESS (H60-H95),F,,0,0,0,0,,0,0,0,0,0,0,1
8,,T,,0,0,0,2,,1,0,0,0,1,0,5
9,DISEASES OF THE CIRCULATORY,M,,63,112,800,1010,,1536,448,1600,712,1171,216,8064
9,SYSTEM (I00-I99),F,,57,116,514,495,,672,382,789,400,657,135,4520
9,,T,,120,228,1314,1505,,2208,830,2389,1112,1828,351,12584
10,DISEASES OF THE RESPIRATORY,M,,33,38,185,239,,352,91,410,199,482,46,2264
10,SYSTEM (J00-J98),F,,26,39,103,86,,158,88,206,107,182,30,1191
10,,T,,59,77,288,325,,510,179,616,306,664,76,3455
11,DISEASES OF THE DIGESTIVE SYSTEM,M,,2,5,102,196,,173,36,126,44,57,17,772
11,(K00-K92),F,,2,9,29,40,,40,26,45,17,14,2,231
11,,T,,4,14,131,236,,213,62,171,61,71,19,1003
12,DISEASES OF THE SKIN AND,M,,0,0,0,3,,3,2,5,3,4,1,21
12,SUBCUTANEOUS TISSUE (L00-L98),F,,0,1,1,3,,2,0,4,1,1,0,13
12,,T,,0,1,1,6,,5,2,9,4,5,1,34
13,DISEASES OF THE MUSCULOSKELETAL,M,,1,0,3,4,,10,15,9,3,4,0,50
13,SYSTEM AND CONNECTIVE TISSUE,F,,0,0,6,2,,3,4,4,5,2,0,27
13,(M00-M99),T,,1,0,9,6,,13,19,13,8,6,0,77
14,DISEASES OF THE GENITOURINARY,M,,2,7,61,61,,107,30,118,47,100,16,566
14,SYSTEM (N00-N99),F,,3,8,32,40,,55,22,42,24,49,4,300
14,,T,,5,15,93,101,,162,52,160,71,149,20,866
15,"PREGNANCY, CHILDBIRTH AND THE",F,,0,0,99,39,,28,32,0,0,0,6,204
15,PUERPERIUM (O00-O99),T,,0,0,99,39,,28,32,0,0,0,6,204
16,CERTAIN CONDITIONS ORIGINATING,M,,0,0,0,0,,0,0,0,0,0,46,1761
16,IN THE PERINATAL PERIOD (P00-P96),F,,0,0,0,0,,0,0,0,0,0,47,1559
16,,T,,0,0,0,0,,0,0,0,0,0,93,3320
17,"CONGENITAL MALFORMATIONS,",M,,1,0,5,2,,6,1,8,0,4,0,55
17,DEFORMATIONS AND CHROMOSOMAL,F,,0,1,3,2,,2,1,0,1,1,1,36
17,ABNORMALITIES (Q00-Q99),T,,1,1,8,4,,8,2,8,1,5,1,91
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,,128,158,701,794,,1038,552,975,376,714,181,6012
18,CLINICAL  AND LABORATORY FINDINGS,F,,171,160,271,251,,394,318,455,230,434,96,3142
18,N.E.C. (R00-R99),T,,299,318,972,1045,,1432,870,1430,606,1148,277,9154
19,"INJURY, POISONING AND CERTAIN OTHER",M,,21,26,287,236,,179,195,141,47,68,24,1243
19,CONSEQUENCES OF EXTERNAL,F,,8,21,114,97,,78,124,43,22,35,9,558
19,CAUSES (S00-T98),T,,29,47,401,333,,257,319,184,69,103,33,1801
20,Codes for Special Purposes,M,,1,3,72,170,,321,33,508,249,408,45,1820
20,(U00-U49),F,,0,5,33,60,,151,16,190,96,141,17,712
20,,T,,1,8,105,230,,472,49,698,345,549,62,2532
,,M,,319,469,2645,3250,,4266,1644,4503,1949,3472,648,26278
,A L L  C A U S E S,F,,319,469,1457,1399,,2059,1272,2168,1072,1770,390,15080
,,T,,638,938,4102,4649,,6325,2916,6671,3021,5242,1038,41358
