GUJARAT,,,,,,,,,,,,,,,
Major,,,,,,,,,,,,,,,
AGE GROUPS,,,,,,,,,,,,,,,
"Group
No.",CA U S E  O F   D E A T H,Sex,,1-4,5-14,15-24,25-34,35-44,,45-54,55-64,65-69,70+,N.S.,
1,2,3,,5,6,7,8,9,,10,11,12,13,14,
I,CERTAIN INFECTIOUS AND PARASITIC,M,,159,137,243,382,705,,914,1181,758,1545,0,
,DISEASES (A00-B99),F,,134,112,237,235,348,,485,675,410,1044,0,
,,T,,293,249,480,617,1053,,1399,1856,1168,2589,0,
II,NEOPLASMS,M,,20,82,89,132,218,,397,462,216,369,0,
,(C00-D48),F,,28,44,52,73,184,,278,263,112,235,0,
,,T,,48,126,141,205,402,,675,725,328,604,0,
III,DISEASES OF BLOOD & BLOOD FORMING,M,,22,28,63,68,81,,186,272,139,246,0,
,ORGANS & CERTAIN DISORDERS INVOLVING,F,,20,26,69,58,52,,95,161,112,204,0,
,THE IMMUNE MECHANISM (D50-D89),T,,42,54,132,126,133,,281,433,251,450,0,
IV,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,,26,30,26,74,111,,164,225,118,199,0,
,DISEASES (E00-E89),F,,21,15,22,36,39,,86,160,86,182,0,
,,T,,47,45,48,110,150,,250,385,204,381,0,
V,MENTAL AND BEHAVIOURAL DISORDERS,M,,0,0,16,13,27,,23,21,13,26,0,
,(F01-F99),F,,0,0,13,6,1,,8,8,8,17,0,
,,T,,0,0,29,19,28,,31,29,21,43,0,
VI,DISEASES OF THE NERVOUS SYSTEM,M,,28,28,81,94,128,,196,266,152,307,0,
,(G00-G98),F,,17,38,32,43,63,,111,148,83,227,0,
,,T,,45,66,113,137,191,,307,414,235,534,0,
VII,DISEASES OF THE EYE AND ADNEXA,M,,0,0,0,0,0,,21,22,34,26,0,
,(H00-H59),F,,0,0,0,0,0,,8,3,19,18,0,
,,T,,0,0,0,0,0,,29,25,53,44,0,
VIII,DISEASES OF THE EAR AND MASTOID,M,,0,0,0,0,0,,0,16,34,30,0,
,PROCESS (H60-H95),F,,0,0,0,0,0,,0,22,15,11,0,
,,T,,0,0,0,0,0,,0,38,49,41,0,
IX,DISEASES OF THE CIRCULATORY,M,,47,54,385,738,1521,,3065,4822,2588,6011,0,
,SYSTEM (I00-I99),F,,49,35,313,365,781,,1348,2536,1502,4736,0,
,,T,,96,89,698,1103,2302,,4413,7358,4090,10747,0,
X,DISEASES OF THE RESPIRATORY,M,,139,157,213,648,923,,1895,3270,1888,3807,0,
,SYSTEM (J00-J98),F,,118,90,197,354,431,,903,1647,897,2194,0,
,,T,,257,247,410,1002,1354,,2798,4917,2785,6001,0,
XI,DISEASES OF THE DIGESTIVE SYSTEM,M,,9,9,62,271,558,,602,462,176,349,0,
,(K00-K92),F,,11,13,34,54,143,,165,202,85,260,0,
,,T,,20,22,96,325,701,,767,664,261,609,0,
XII,DISEASES OF THE SKIN AND,M,,2,1,4,10,20,,27,29,18,51,0,
,SUBCUTANEOUS TISSUE (L00-L98),F,,0,1,2,4,9,,15,18,8,31,0,
,,T,,2,2,6,14,29,,42,47,26,82,0,
XIII,DISEASES OF THE MUSCULOSKELETAL,M,,0,0,0,0,6,,37,19,15,25,0,
,SYSTEM AND CONNECTIVE TISSUE,F,,0,0,0,0,2,,30,18,11,27,0,
,(M00-M99),T,,0,0,0,0,8,,67,37,26,52,0,
XIV,DISEASES OF THE GENITOURINARY,M,,8,15,46,93,169,,261,374,205,458,0,
,SYSTEM (N00-N99),F,,8,18,44,81,90,,168,247,141,368,0,
,,T,,16,33,90,174,259,,429,621,346,826,0,
XV,"PREGNANCY, CHILDBIRTH AND THE",F,,0,0,32,69,44,,1,0,0,0,0,
,PUERPERIUM (O00-O99),T,,0,0,32,69,44,,1,0,0,0,0,
XVI,CERTAIN CONDITIONS ORIGINATING,M,,0,0,0,0,0,,0,0,0,0,0,
,IN THE PERINATAL PERIOD (P00-P96),F,,0,0,0,0,0,,0,0,0,0,0,
,,T,,0,0,0,0,0,,0,0,0,0,0,
XVII,"CONGENITAL MALFORMATIONS,",M,,55,13,12,8,12,,15,0,0,0,0,
,DEFORMATIONS AND CHROMOSOMAL,F,,27,15,13,5,2,,6,0,0,0,0,
,ABNORMALITIES (Q00-Q99),T,,82,28,25,13,14,,21,0,0,0,0,
XVIII,"SYMPTOMS, SIGNS AND ABNORMAL",M,,59,60,243,436,813,,1355,2265,1783,3528,0,
,CLINICAL  AND LABORATORY FINDINGS,F,,46,113,166,207,303,,579,1237,1020,3163,0,
,N.E.C. (R00-R99),T,,105,173,409,643,1116,,1934,3502,2803,6691,0,
XIX,"INJURY, POISONING AND CERTAIN OTHER",M,,21,26,291,310,320,,214,181,67,103,0,
,CONSEQUENCES OF EXTERNAL,F,,11,27,152,107,104,,71,84,30,66,0,
,CAUSES (S00-T98),T,,32,53,443,417,424,,285,265,97,169,0,
XXII,Codes for Special Purposes,M,,2,4,17,67,223,,497,846,504,850,0,
,(U00-U49),F,,2,1,11,21,64,,248,405,202,340,0,
,,T,,4,5,28,88,287,,745,1251,706,1190,0,
,,M,,597,644,1791,3344,5835,,9869,14733,8708,17930,0,
,A L L  C A U S E S,F,,492,548,1389,1718,2660,,4605,7834,4741,13123,0,
,,T,,1089,1192,3180,5062,8495,,14474,22567,13449,31053,0,
