HIMACHAL PRADESH,,,,,,,,,,,,,,,
"Group
No.",CA U S E  O F   D E A T H,Sex,,1-4      5-14     15-24,,,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,,5            6            7,,,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,,2,,,13,,38,64,48,19,50,22,269
1,DISEASES (A00-B99),F,,1,,,14,,9,31,26,30,25,6,169
1,,T,,3,,,27,,47,95,74,49,75,28,438
2,NEOPLASMS,M,,0,,,2,,8,23,53,25,26,18,161
2,(C00-D48),F,,0,,,7,,18,16,30,18,25,18,133
2,,T,,0,,,9,,26,39,83,43,51,36,294
3,DISEASES OF BLOOD & BLOOD FORMING,M,,0,,,2,,2,7,6,3,16,5,42
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,,0,,,3,,1,4,4,3,12,10,39
3,THE IMMUNE MECHANISM (D50-D89),T,,0,,,5,,3,11,10,6,28,15,81
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,,1,,,1,,6,22,37,29,37,16,155
4,DISEASES (E00-E89),F,,1,,,3,,3,22,41,21,43,6,150
4,,T,,2,,,4,,9,44,78,50,80,22,305
5,MENTAL AND BEHAVIOURAL DISORDERS,M,,0,,,7,,13,9,23,4,8,7,74
5,(F01-F99),F,,0,,,1,,1,1,0,1,1,1,6
5,,T,,0,,,8,,14,10,23,5,9,8,80
6,DISEASES OF THE NERVOUS SYSTEM,M,,2,,,9,,11,16,8,14,25,9,107
6,(G00-G98),F,,0,,,3,,2,8,13,7,16,10,64
6,,T,,2,,,12,,13,24,21,21,41,19,171
7,DISEASES OF THE EYE AND ADNEXA,M,,0,,,0,,0,0,0,0,1,0,1
7,(H00-H59),F,,0,,,0,,0,0,0,0,1,0,1
7,,T,,0,,,0,,0,0,0,0,2,0,2
8,DISEASES OF THE EAR AND MASTOID,M,,0,,,0,,0,0,0,0,0,0,0
8,PROCESS (H60-H95),F,,0,,,0,,0,0,0,0,0,0,0
8,,T,,0,,,0,,0,0,0,0,0,0,0
9,DISEASES OF THE CIRCULATORY,M,,2,,,31,,61,107,205,108,359,85,987
9,SYSTEM (I00-I99),F,,2,,,21,,20,59,107,73,314,59,677
9,,T,,4,,,52,,81,166,312,181,673,144,1664
10,DISEASES OF THE RESPIRATORY,M,,2,,,11,,14,61,118,79,101,31,450
10,SYSTEM (J00-J98),F,,3,,,9,,9,36,77,52,99,26,325
10,,T,,5,,,20,,23,97,195,131,200,57,775
11,DISEASES OF THE DIGESTIVE SYSTEM,M,,0,,,11,,46,70,55,14,51,14,268
11,(K00-K92),F,,0,,,10,,8,17,12,7,21,7,85
11,,T,,0,,,21,,54,87,67,21,72,21,353
12,DISEASES OF THE SKIN AND,M,,0,,,0,,1,0,0,0,0,0,2
12,SUBCUTANEOUS TISSUE (L00-L98),F,,0,,,0,,1,0,1,0,2,0,4
12,,T,,0,,,0,,2,0,1,0,2,0,6
13,DISEASES OF THE MUSCULOSKELETAL,M,,0,,,0,,0,2,1,0,1,0,6
13,SYSTEM AND CONNECTIVE TISSUE,F,,0,,,1,,0,1,0,0,1,0,5
13,(M00-M99),T,,0,,,1,,0,3,1,0,2,0,11
14,DISEASES OF THE GENITOURINARY,M,,1,,,7,,17,14,29,4,24,14,118
14,SYSTEM (N00-N99),F,,0,,,4,,12,21,22,7,8,8,91
14,,T,,1,,,11,,29,35,51,11,32,22,209
15,"PREGNANCY, CHILDBIRTH AND THE",F,,0,,,3,,0,0,0,0,0,0,3
15,PUERPERIUM (O00-O99),T,,0,,,3,,0,0,0,0,0,0,3
16,CERTAIN CONDITIONS ORIGINATING,M,,0,,,0,,0,0,0,0,0,0,213
16,IN THE PERINATAL PERIOD (P00-P96),F,,0,,,0,,0,0,0,0,0,0,99
16,,T,,0,,,0,,0,0,0,0,0,0,312
17,"CONGENITAL MALFORMATIONS,",M,,1,,,1,,2,3,1,1,2,0,15
17,DEFORMATIONS AND CHROMOSOMAL,F,,1,,,1,,0,3,0,2,0,3,15
17,ABNORMALITIES (Q00-Q99),T,,2,,,2,,2,6,1,3,2,3,30
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,,2,,,25,,34,46,58,35,85,23,394
18,CLINICAL  AND LABORATORY FINDINGS,F,,2,,,8,,10,23,38,24,59,13,257
18,N.E.C. (R00-R99),T,,4,,,33,,44,69,96,59,144,36,651
19,"INJURY, POISONING AND CERTAIN OTHER",M,,2,,,24,,24,28,9,8,13,13,131
19,CONSEQUENCES OF EXTERNAL,F,,1,,,10,,3,6,7,2,12,5,59
19,CAUSES (S00-T98),T,,3,,,34,,27,34,16,10,25,18,190
20,Codes for Special Purposes,M,,0,,,5,,31,75,144,72,209,61,605
20,(U00-U49),F,,0,,,9,,24,29,44,37,96,24,265
20,,T,,0,,,14,,55,104,188,109,305,85,870
,,M,,15,,,149,,308,547,795,415,1008,318,3998
,A L L  C A U S E S,F,,11,,,107,,121,277,422,284,735,196,2447
,,T,,26,,,256,,429,824,1217,699,1743,514,6445
