NAGALAND,,,,,,,,,,,,,,,
"Group
No.",CA U S E  O F   D E A T H,Sex,,1-4      5-14     15-24,,,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,,5            6            7,,,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,,0,,,1,,3,1,1,0,0,1,12
1,DISEASES (A00-B99),F,,2,,,1,,1,0,1,2,0,0,8
1,,T,,2,,,2,,4,1,2,2,0,1,20
2,NEOPLASMS,M,,0,,,1,,1,3,2,2,1,1,12
2,(C00-D48),F,,0,,,0,,1,2,1,1,1,0,6
2,,T,,0,,,1,,2,5,3,3,2,1,18
3,DISEASES OF BLOOD & BLOOD FORMING,M,,1,,,1,,2,0,0,1,0,1,8
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,,1,,,0,,1,1,0,0,0,0,4
3,THE IMMUNE MECHANISM (D50-D89),T,,2,,,1,,3,1,0,1,0,1,12
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,,0,,,0,,0,2,2,3,1,1,9
4,DISEASES (E00-E89),F,,0,,,0,,0,2,1,1,0,1,5
4,,T,,0,,,0,,0,4,3,4,1,2,14
5,MENTAL AND BEHAVIOURAL DISORDERS,M,,0,,,0,,0,0,0,0,0,0,0
5,(F01-F99),F,,0,,,0,,0,0,0,0,0,0,0
5,,T,,0,,,0,,0,0,0,0,0,0,0
6,DISEASES OF THE NERVOUS SYSTEM,M,,0,,,1,,0,1,3,4,2,2,14
6,(G00-G98),F,,0,,,1,,0,1,0,3,4,0,9
6,,T,,0,,,2,,0,2,3,7,6,2,23
7,DISEASES OF THE EYE AND ADNEXA,M,,0,,,0,,0,0,0,0,0,0,0
7,(H00-H59),F,,0,,,0,,0,0,0,0,0,0,0
7,,T,,0,,,0,,0,0,0,0,0,0,0
8,DISEASES OF THE EAR AND MASTOID,M,,0,,,0,,0,0,0,0,0,0,0
8,PROCESS (H60-H95),F,,0,,,0,,0,0,0,0,0,0,0
8,,T,,0,,,0,,0,0,0,0,0,0,0
9,DISEASES OF THE CIRCULATORY,M,,1,,,0,,2,3,2,6,2,1,18
9,SYSTEM (I00-I99),F,,1,,,0,,0,1,3,1,3,2,11
9,,T,,2,,,0,,2,4,5,7,5,3,29
10,DISEASES OF THE RESPIRATORY,M,,2,,,0,,0,0,0,1,2,1,11
10,SYSTEM (J00-J98),F,,3,,,0,,0,0,0,0,2,0,8
10,,T,,5,,,0,,0,0,0,1,4,1,19
11,DISEASES OF THE DIGESTIVE SYSTEM,M,,0,,,1,,2,1,3,1,0,0,9
11,(K00-K92),F,,0,,,1,,1,2,0,2,0,0,6
11,,T,,0,,,2,,3,3,3,3,0,0,15
12,DISEASES OF THE SKIN AND,M,,0,,,0,,0,0,0,0,0,0,0
12,SUBCUTANEOUS TISSUE (L00-L98),F,,0,,,0,,0,0,0,0,0,0,0
12,,T,,0,,,0,,0,0,0,0,0,0,0
13,DISEASES OF THE MUSCULOSKELETAL,M,,0,,,0,,0,0,0,0,0,0,0
13,SYSTEM AND CONNECTIVE TISSUE,F,,0,,,0,,0,0,0,0,0,0,0
13,(M00-M99),T,,0,,,0,,0,0,0,0,0,0,0
14,DISEASES OF THE GENITOURINARY,M,,0,,,0,,0,1,3,1,2,0,7
14,SYSTEM (N00-N99),F,,0,,,0,,1,1,2,0,0,0,4
14,,T,,0,,,0,,1,2,5,1,2,0,11
15,"PREGNANCY, CHILDBIRTH AND THE",F,,0,,,0,,0,0,0,0,0,0,0
15,PUERPERIUM (O00-O99),T,,0,,,0,,0,0,0,0,0,0,0
16,CERTAIN CONDITIONS ORIGINATING,M,,0,,,0,,0,0,0,0,0,0,1
16,IN THE PERINATAL PERIOD (P00-P96),F,,0,,,0,,0,0,0,0,0,0,1
16,,T,,0,,,0,,0,0,0,0,0,0,2
17,"CONGENITAL MALFORMATIONS,",M,,0,,,0,,0,0,0,0,0,0,0
17,DEFORMATIONS AND CHROMOSOMAL,F,,0,,,0,,0,0,0,0,0,0,0
17,ABNORMALITIES (Q00-Q99),T,,0,,,0,,0,0,0,0,0,0,0
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,,0,,,0,,0,0,0,0,0,0,0
18,CLINICAL  AND LABORATORY FINDINGS,F,,0,,,0,,0,0,0,0,0,0,0
18,N.E.C. (R00-R99),T,,0,,,0,,0,0,0,0,0,0,0
19,"INJURY, POISONING AND CERTAIN OTHER",M,,2,,,0,,0,1,0,2,1,1,10
19,CONSEQUENCES OF EXTERNAL,F,,1,,,0,,0,1,0,1,2,0,8
19,CAUSES (S00-T98),T,,3,,,0,,0,2,0,3,3,1,18
20,Codes for Special Purposes,M,,0,,,0,,2,1,1,1,3,0,8
20,(U00-U49),F,,0,,,0,,1,1,0,0,0,0,2
20,,T,,0,,,0,,3,2,1,1,3,0,10
,,M,,6,,,5,,12,14,17,22,14,9,119
,A L L  C A U S E S,F,,8,,,3,,6,12,8,11,12,3,72
total,,T,,14,,,8,,18,26,25,33,26,12,191
