PUDUCHERRY,,,,,,,,,,,,,,,
Group No.,CA U S E  O F   D E A T H,Sex,<1,1-4      5-14     15-24,,,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,4,5            6            7,,,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,8,3,,,64,,98,194,208,72,153,0,830
1,DISEASES (A00-B99),F,9,6,,,40,,45,69,85,34,72,0,395
1,,T,17,9,,,104,,143,263,293,106,225,0,1225
2,NEOPLASMS,M,0,1,,,28,,34,37,68,26,23,0,229
2,(C00-D48),F,0,0,,,5,,16,38,44,16,20,0,145
2,,T,0,1,,,33,,50,75,112,42,43,0,374
3,DISEASES OF BLOOD & BLOOD FORMING,M,0,0,,,0,,2,1,12,2,1,0,20
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,0,0,,,4,,1,4,11,2,2,0,26
3,THE IMMUNE MECHANISM (D50-D89),T,0,0,,,4,,3,5,23,4,3,0,46
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,2,2,,,12,,19,51,79,31,39,0,237
4,DISEASES (E00-E89),F,2,1,,,3,,31,19,45,27,59,0,191
4,,T,4,3,,,15,,50,70,124,58,98,0,428
5,MENTAL AND BEHAVIOURAL DISORDERS,M,0,0,,,0,,2,2,8,0,1,0,18
5,(F01-F99),F,0,0,,,1,,0,0,0,0,0,0,1
5,,T,0,0,,,1,,2,2,8,0,1,0,19
6,DISEASES OF THE NERVOUS SYSTEM,M,0,1,,,5,,4,3,1,4,5,0,25
6,(G00-G98),F,0,1,,,1,,2,2,3,2,4,0,18
6,,T,0,2,,,6,,6,5,4,6,9,0,43
7,DISEASES OF THE EYE AND ADNEXA,M,0,0,,,0,,0,0,0,0,0,0,0
7,(H00-H59),F,0,0,,,0,,0,0,0,0,0,0,0
7,,T,0,0,,,0,,0,0,0,0,0,0,0
8,DISEASES OF THE EAR AND MASTOID,M,0,0,,,0,,0,0,0,0,0,0,0
8,PROCESS (H60-H95),F,0,0,,,0,,0,0,0,0,0,0,0
8,,T,0,0,,,0,,0,0,0,0,0,0,0
9,DISEASES OF THE CIRCULATORY,M,7,2,,,55,,81,284,377,240,497,0,1585
9,SYSTEM (I00-I99),F,4,2,,,29,,43,116,215,86,536,0,1046
9,,T,11,4,,,84,,124,400,592,326,1033,0,2631
10,DISEASES OF THE RESPIRATORY,M,3,3,,,16,,31,48,68,55,142,0,377
10,SYSTEM (J00-J98),F,2,2,,,10,,13,16,51,17,70,0,190
10,,T,5,5,,,26,,44,64,119,72,212,0,567
11,DISEASES OF THE DIGESTIVE SYSTEM,M,3,0,,,13,,128,60,34,9,57,0,310
11,(K00-K92),F,2,2,,,4,,4,5,7,2,5,0,37
11,,T,5,2,,,17,,132,65,41,11,62,0,347
12,DISEASES OF THE SKIN AND,M,0,0,,,1,,0,0,0,0,0,0,1
12,SUBCUTANEOUS TISSUE (L00-L98),F,0,0,,,0,,0,0,0,0,0,0,0
12,,T,0,0,,,1,,0,0,0,0,0,0,1
13,DISEASES OF THE MUSCULOSKELETAL,M,0,1,,,0,,1,0,2,0,1,0,6
13,SYSTEM AND CONNECTIVE TISSUE,F,0,0,,,1,,0,0,0,0,1,0,2
13,(M00-M99),T,0,1,,,1,,1,0,2,0,2,0,8
14,DISEASES OF THE GENITOURINARY,M,1,1,,,15,,36,128,78,34,51,0,358
14,SYSTEM (N00-N99),F,1,1,,,15,,14,29,37,95,153,0,353
14,,T,2,2,,,30,,50,157,115,129,204,0,711
15,"PREGNANCY, CHILDBIRTH AND THE",F,0,0,,,4,,0,9,0,0,0,0,15
15,PUERPERIUM (O00-O99),T,0,0,,,4,,0,9,0,0,0,0,15
16,CERTAIN CONDITIONS ORIGINATING,M,157,0,,,0,,0,0,0,0,0,0,157
16,IN THE PERINATAL PERIOD (P00-P96),F,123,0,,,0,,0,0,0,0,0,0,123
16,,T,280,0,,,0,,0,0,0,0,0,0,280
17,"CONGENITAL MALFORMATIONS,",M,20,0,,,0,,0,1,0,0,0,0,21
17,DEFORMATIONS AND CHROMOSOMAL,F,11,1,,,0,,1,0,0,0,0,0,14
17,ABNORMALITIES (Q00-Q99),T,31,1,,,0,,1,1,0,0,0,0,35
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,5,4,,,20,,61,66,158,109,716,0,1162
18,CLINICAL  AND LABORATORY FINDINGS,F,8,1,,,7,,12,24,87,99,723,0,973
18,N.E.C. (R00-R99),T,13,5,,,27,,73,90,245,208,1439,0,2135
19,"INJURY, POISONING AND CERTAIN OTHER",M,1,5,,,55,,72,88,54,17,55,0,383
19,CONSEQUENCES OF EXTERNAL,F,1,2,,,24,,30,21,17,7,12,0,155
19,CAUSES (S00-T98),T,2,7,,,79,,102,109,71,24,67,0,538
20,Codes for Special Purposes,M,1,0,,,15,,28,80,172,71,173,0,540
20,(U00-U49),F,0,0,,,3,,15,37,84,69,79,0,288
20,,T,1,0,,,18,,43,117,256,140,252,0,828
,,M,208,23,,,299,,597,1043,1319,670,1914,0,6259
,A L L  C A U S E S,F,163,19,,,151,,227,389,686,456,1736,0,3972
total,,T,371,42,,,450,,824,1432,2005,1126,3650,0,10231
