PUNJAB,,,,,,,,,,,,,,,
Group No.,CA U S E  O F   D E A T H,Sex,,1-4,5-14,15-24,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,,5,6,7,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,,97,60,75,182,,254,356,444,597,304,11,2592
1,DISEASES (A00-B99),F,,42,39,112,98,,135,229,218,299,172,6,1545
1,,T,,139,99,187,280,,389,585,662,896,476,17,4137
2,NEOPLASMS,M,,0,4,15,17,,210,217,191,176,153,2,986
2,(C00-D48),F,,2,2,15,23,,86,164,131,99,69,0,593
2,,T,,2,6,30,40,,296,381,322,275,222,2,1579
3,DISEASES OF BLOOD & BLOOD FORMING,M,,6,5,2,7,,3,40,37,75,6,3,185
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,,3,5,4,4,,6,8,6,3,5,2,46
3,THE IMMUNE MECHANISM (D50-D89),T,,9,10,6,11,,9,48,43,78,11,5,231
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,,4,3,5,23,,37,420,498,418,164,23,1598
4,DISEASES (E00-E89),F,,1,4,7,7,,36,173,350,336,160,20,1096
4,,T,,5,7,12,30,,73,593,848,754,324,43,2694
5,MENTAL AND BEHAVIOURAL DISORDERS,M,,0,0,3,1,,0,4,0,1,5,0,14
5,(F01-F99),F,,0,1,0,0,,1,0,3,2,0,0,7
5,,T,,0,1,3,1,,1,4,3,3,5,0,21
6,DISEASES OF THE NERVOUS SYSTEM,M,,1,4,29,163,,212,356,262,575,64,1,1669
6,(G00-G98),F,,3,1,9,55,,65,129,194,353,35,0,845
6,,T,,4,5,38,218,,277,485,456,928,99,1,2514
7,DISEASES OF THE EYE AND ADNEXA,M,,0,0,0,0,,0,0,0,1,0,1,2
7,(H00-H59),F,,0,0,0,0,,0,0,0,0,0,0,0
7,,T,,0,0,0,0,,0,0,0,1,0,1,2
8,DISEASES OF THE EAR AND MASTOID,M,,0,0,0,0,,0,0,0,0,0,0,0
8,PROCESS (H60-H95),F,,0,0,0,0,,0,0,0,0,0,0,0
8,,T,,0,0,0,0,,0,0,0,0,0,0,0
9,DISEASES OF THE CIRCULATORY,M,,8,11,119,310,,534,1212,1819,2058,1314,61,7460
9,SYSTEM (I00-I99),F,,8,7,52,283,,451,979,1749,1996,1287,49,6870
9,,T,,16,18,171,593,,985,2191,3568,4054,2601,110,14330
10,DISEASES OF THE RESPIRATORY,M,,26,29,46,106,,153,184,223,223,182,70,1292
10,SYSTEM (J00-J98),F,,14,25,47,59,,129,225,262,162,141,15,1132
10,,T,,40,54,93,165,,282,409,485,385,323,85,2424
11,DISEASES OF THE DIGESTIVE SYSTEM,M,,1,10,46,140,,182,246,253,199,139,15,1238
11,(K00-K92),F,,1,6,22,29,,59,109,74,81,50,6,443
11,,T,,2,16,68,169,,241,355,327,280,189,21,1681
12,DISEASES OF THE SKIN AND,M,,0,1,0,0,,1,0,1,2,2,0,7
12,SUBCUTANEOUS TISSUE (L00-L98),F,,0,0,0,2,,0,0,0,0,0,0,2
12,,T,,0,1,0,2,,1,0,1,2,2,0,9
13,DISEASES OF THE MUSCULOSKELETAL,M,,0,0,0,1,,1,1,2,0,1,0,6
13,SYSTEM AND CONNECTIVE TISSUE,F,,0,0,0,2,,1,2,1,0,0,0,6
13,(M00-M99),T,,0,0,0,3,,2,3,3,0,1,0,12
14,DISEASES OF THE GENITOURINARY,M,,2,3,12,15,,38,68,99,101,261,16,615
14,SYSTEM (N00-N99),F,,0,0,14,19,,12,42,70,68,77,11,320
14,,T,,2,3,26,34,,50,110,169,169,338,27,935
15,"PREGNANCY, CHILDBIRTH AND THE",F,,0,0,102,208,,73,0,0,0,0,0,383
15,PUERPERIUM (O00-O99),T,,0,0,102,208,,73,0,0,0,0,0,383
16,CERTAIN CONDITIONS ORIGINATING,M,,0,0,0,0,,0,0,0,0,0,0,487
16,IN THE PERINATAL PERIOD (P00-P96),F,,0,0,0,0,,0,0,0,0,0,0,367
16,,T,,0,0,0,0,,0,0,0,0,0,0,854
17,"CONGENITAL MALFORMATIONS,",M,,0,0,0,0,,2,3,3,3,5,0,26
17,DEFORMATIONS AND CHROMOSOMAL,F,,1,0,1,2,,0,0,2,0,2,0,13
17,ABNORMALITIES (Q00-Q99),T,,1,0,1,2,,2,3,5,3,7,0,39
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,,9,5,7,48,,151,404,382,90,127,7,1247
18,CLINICAL  AND LABORATORY FINDINGS,F,,11,9,13,43,,149,218,143,58,55,5,719
18,N.E.C. (R00-R99),T,,20,14,20,91,,300,622,525,148,182,12,1966
19,"INJURY, POISONING AND CERTAIN OTHER",M,,3,7,65,89,,129,124,92,91,43,16,664
19,CONSEQUENCES OF EXTERNAL,F,,3,11,29,38,,99,84,69,41,46,9,430
19,CAUSES (S00-T98),T,,6,18,94,127,,228,208,161,132,89,25,1094
20,Codes for Special Purposes,M,,1,1,31,68,,269,461,916,752,598,0,3097
20,(U00-U49),F,,0,0,14,20,,73,274,553,402,283,0,1619
20,,T,,1,1,45,88,,342,735,1469,1154,881,0,4716
,,M,,158,143,455,1170,,2176,4096,5222,5362,3368,226,23185
,A L L  C A U S E S,F,,89,110,441,892,,1375,2636,3825,3900,2382,123,16436
total,,T,,247,253,896,2062,,3551,6732,9047,9262,5750,349,39621
