RAJASTHAN,,,,,,,,,,,,,,,
"Group
No.",CA U S E  O F   D E A T H,Sex,<1,1-4,5-14,15-24,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,4,5,6,7,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,298,111,167,261,428,,557,723,566,299,487,0,3897
1,DISEASES (A00-B99),F,263,82,131,257,306,,288,300,294,146,285,0,2352
1,,T,561,193,298,518,734,,845,1023,860,445,772,0,6249
2,NEOPLASMS,M,16,14,33,58,75,,110,218,242,112,166,0,1044
2,(C00-D48),F,21,16,26,22,68,,110,223,188,69,117,0,860
2,,T,37,30,59,80,143,,220,441,430,181,283,0,1904
3,DISEASES OF BLOOD & BLOOD FORMING,M,36,26,24,30,26,,40,43,64,30,45,0,364
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,31,16,20,47,50,,39,41,43,25,37,0,349
3,THE IMMUNE MECHANISM (D50-D89),T,67,42,44,77,76,,79,84,107,55,82,0,713
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,17,6,19,24,57,,78,119,189,91,198,0,798
4,DISEASES (E00-E89),F,17,2,16,33,21,,40,108,122,82,153,0,594
4,,T,34,8,35,57,78,,118,227,311,173,351,0,1392
5,MENTAL AND BEHAVIOURAL DISORDERS,M,6,3,0,4,10,,17,9,17,7,4,0,77
5,(F01-F99),F,3,0,2,3,2,,3,3,2,0,4,0,22
5,,T,9,3,2,7,12,,20,12,19,7,8,0,99
6,DISEASES OF THE NERVOUS SYSTEM,M,92,74,83,54,65,,66,73,90,42,94,0,733
6,(G00-G98),F,80,54,70,40,36,,29,35,52,26,40,0,462
6,,T,172,128,153,94,101,,95,108,142,68,134,0,1195
7,DISEASES OF THE EYE AND ADNEXA,M,5,0,0,0,2,,0,1,2,2,3,0,15
7,(H00-H59),F,2,0,0,1,0,,0,1,2,2,2,0,10
7,,T,7,0,0,1,2,,0,2,4,4,5,0,25
8,DISEASES OF THE EAR AND MASTOID,M,3,0,0,1,1,,2,1,2,1,1,0,12
8,PROCESS (H60-H95),F,1,0,0,1,0,,1,0,0,0,0,0,3
8,,T,4,0,0,2,1,,3,1,2,1,1,0,15
