SIKKIM,,,,,,,,,,,,,,,
"Group
No.",CA U S E  O F   D E A T H,Sex,<1,1-4      5-14     15-24,,,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,4,5            6            7,,,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,4,1,,,15,,9,18,14,5,16,0,90
1,DISEASES (A00-B99),F,7,0,,,7,,17,9,3,2,8,0,54
1,,T,11,1,,,22,,26,27,17,7,24,0,144
2,NEOPLASMS,M,0,0,,,1,,3,15,14,11,21,1,67
2,(C00-D48),F,0,0,,,3,,3,12,20,9,9,1,58
2,,T,0,0,,,4,,6,27,34,20,30,2,125
3,DISEASES OF BLOOD & BLOOD FORMING,M,0,0,,,1,,0,2,0,0,2,0,7
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,0,0,,,2,,4,1,1,1,1,0,12
3,THE IMMUNE MECHANISM (D50-D89),T,0,0,,,3,,4,3,1,1,3,0,19
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,2,0,,,1,,8,13,15,5,18,0,62
4,DISEASES (E00-E89),F,0,0,,,4,,6,7,10,9,18,2,57
4,,T,2,0,,,5,,14,20,25,14,36,2,119
5,MENTAL AND BEHAVIOURAL DISORDERS,M,0,0,,,0,,3,2,1,0,0,0,7
5,(F01-F99),F,0,0,,,1,,0,0,0,0,0,0,1
5,,T,0,0,,,1,,3,2,1,0,0,0,8
6,DISEASES OF THE NERVOUS SYSTEM,M,5,4,,,2,,2,3,2,1,1,0,23
6,(G00-G98),F,4,0,,,0,,1,2,2,0,0,0,10
6,,T,9,4,,,2,,3,5,4,1,1,0,33
7,DISEASES OF THE EYE AND ADNEXA,M,0,0,,,0,,0,0,0,0,0,0,0
7,(H00-H59),F,0,0,,,0,,0,0,0,0,0,0,0
7,,T,0,0,,,0,,0,0,0,0,0,0,0
8,DISEASES OF THE EAR AND MASTOID,M,0,0,,,0,,0,0,0,0,0,0,0
8,PROCESS (H60-H95),F,0,0,,,0,,0,0,0,0,0,0,0
8,,T,0,0,,,0,,0,0,0,0,0,0,0
9,DISEASES OF THE CIRCULATORY,M,0,1,,,19,,31,51,49,27,104,4,291
9,SYSTEM (I00-I99),F,1,0,,,10,,24,24,24,12,49,0,151
9,,T,1,1,,,29,,55,75,73,39,153,4,442
10,DISEASES OF THE RESPIRATORY,M,4,1,,,5,,6,7,4,4,16,0,50
10,SYSTEM (J00-J98),F,7,0,,,3,,1,3,7,7,34,1,64
10,,T,11,1,,,8,,7,10,11,11,50,1,114
11,DISEASES OF THE DIGESTIVE SYSTEM,M,0,0,,,13,,40,46,40,13,15,4,172
11,(K00-K92),F,1,0,,,6,,16,26,19,4,9,0,86
11,,T,1,0,,,19,,56,72,59,17,24,4,258
12,DISEASES OF THE SKIN AND,M,0,0,,,0,,1,0,0,0,1,0,2
12,SUBCUTANEOUS TISSUE (L00-L98),F,0,0,,,1,,0,1,0,0,1,0,4
12,,T,0,0,,,1,,1,1,0,0,2,0,6
13,DISEASES OF THE MUSCULOSKELETAL,M,0,0,,,0,,1,0,0,0,0,0,1
13,SYSTEM AND CONNECTIVE TISSUE,F,0,0,,,1,,1,0,1,0,0,0,5
13,(M00-M99),T,0,0,,,1,,2,0,1,0,0,0,6
14,DISEASES OF THE GENITOURINARY,M,1,0,,,5,,3,10,7,1,16,0,46
14,SYSTEM (N00-N99),F,2,0,,,4,,7,11,19,0,5,2,56
14,,T,3,0,,,9,,10,21,26,1,21,2,102
15,"PREGNANCY, CHILDBIRTH AND THE",F,0,0,,,4,,1,0,0,0,0,0,6
15,PUERPERIUM (O00-O99),T,0,0,,,4,,1,0,0,0,0,0,6
16,CERTAIN CONDITIONS ORIGINATING,M,28,0,,,0,,0,0,0,0,0,1,29
16,IN THE PERINATAL PERIOD (P00-P96),F,30,0,,,0,,0,0,0,0,0,0,30
16,,T,58,0,,,0,,0,0,0,0,0,1,59
17,"CONGENITAL MALFORMATIONS,",M,9,1,,,0,,0,0,0,0,0,0,11
17,DEFORMATIONS AND CHROMOSOMAL,F,3,0,,,0,,0,0,0,0,0,0,3
17,ABNORMALITIES (Q00-Q99),T,12,1,,,0,,0,0,0,0,0,0,14
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,1,0,,,3,,3,1,0,0,1,0,9
18,CLINICAL  AND LABORATORY FINDINGS,F,0,0,,,1,,0,0,0,0,0,0,2
18,N.E.C. (R00-R99),T,1,0,,,4,,3,1,0,0,1,0,11
19,"INJURY, POISONING AND CERTAIN OTHER",M,1,2,,,18,,16,19,5,3,3,0,79
19,CONSEQUENCES OF EXTERNAL,F,2,0,,,2,,5,0,2,0,5,0,21
19,CAUSES (S00-T98),T,3,2,,,20,,21,19,7,3,8,0,100
20,Codes for Special Purposes,M,0,0,,,3,,7,6,11,10,18,0,56
20,(U00-U49),F,1,0,,,2,,5,2,6,3,6,0,26
20,,T,1,0,,,5,,12,8,17,13,24,0,82
,,M,55,10,,,86,,133,193,162,80,232,10,1002
,A L L  C A U S E S,F,58,0,,,51,,91,98,114,47,145,6,646
total,,T,113,10,,,137,,224,291,276,127,377,16,1648
