TRIPURA,,,,,,,,,,,,,,,
Group No.,CA U S E  O F   D E A T H,Sex,,1-4      5-14     15-24,,,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,,5            6            7,,,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,,7,,,62,,71,131,137,54,151,0,730
1,DISEASES (A00-B99),F,,4,,,36,,48,57,75,43,105,0,485
1,,T,,11,,,98,,119,188,212,97,256,0,1215
2,NEOPLASMS,M,,1,,,7,,25,73,127,53,93,0,390
2,(C00-D48),F,,1,,,8,,26,65,72,23,46,0,248
2,,T,,2,,,15,,51,138,199,76,139,0,638
3,DISEASES OF BLOOD & BLOOD FORMING,M,,1,,,9,,15,14,14,15,40,0,119
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,,1,,,11,,11,13,20,5,39,0,109
3,THE IMMUNE MECHANISM (D50-D89),T,,2,,,20,,26,27,34,20,79,0,228
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,,0,,,8,,22,38,87,41,93,0,291
4,DISEASES (E00-E89),F,,0,,,11,,8,20,33,22,56,0,156
4,,T,,0,,,19,,30,58,120,63,149,0,447
5,MENTAL AND BEHAVIOURAL DISORDERS,M,,0,,,0,,2,2,7,2,12,0,25
5,(F01-F99),F,,0,,,2,,0,2,3,0,8,0,17
5,,T,,0,,,2,,2,4,10,2,20,0,42
6,DISEASES OF THE NERVOUS SYSTEM,M,,2,,,10,,7,13,13,6,21,0,85
6,(G00-G98),F,,0,,,7,,4,4,7,2,11,0,46
6,,T,,2,,,17,,11,17,20,8,32,0,131
7,DISEASES OF THE EYE AND ADNEXA,M,,0,,,1,,0,1,1,0,2,0,5
7,(H00-H59),F,,0,,,0,,0,0,1,0,2,0,4
7,,T,,0,,,1,,0,1,2,0,4,0,9
8,DISEASES OF THE EAR AND MASTOID,M,,0,,,0,,0,0,0,0,0,0,0
8,PROCESS (H60-H95),F,,0,,,0,,0,0,0,0,0,0,0
8,,T,,0,,,0,,0,0,0,0,0,0,0
9,DISEASES OF THE CIRCULATORY,M,,0,,,50,,186,436,677,373,890,0,2679
9,SYSTEM (I00-I99),F,,3,,,44,,82,191,321,239,755,0,1697
9,,T,,3,,,94,,268,627,998,612,1645,0,4376
10,DISEASES OF THE RESPIRATORY,M,,9,,,25,,51,96,138,70,196,0,638
10,SYSTEM (J00-J98),F,,2,,,11,,17,36,66,36,132,0,341
10,,T,,11,,,36,,68,132,204,106,328,0,979
11,DISEASES OF THE DIGESTIVE SYSTEM,M,,1,,,26,,67,94,60,27,25,0,312
11,(K00-K92),F,,0,,,6,,9,21,15,10,19,0,88
11,,T,,1,,,32,,76,115,75,37,44,0,400
12,DISEASES OF THE SKIN AND,M,,0,,,0,,3,4,2,1,3,0,14
12,SUBCUTANEOUS TISSUE (L00-L98),F,,0,,,1,,3,1,3,3,3,0,14
12,,T,,0,,,1,,6,5,5,4,6,0,28
13,DISEASES OF THE MUSCULOSKELETAL,M,,0,,,1,,0,2,6,2,4,0,15
13,SYSTEM AND CONNECTIVE TISSUE,F,,0,,,1,,1,2,2,2,4,0,13
13,(M00-M99),T,,0,,,2,,1,4,8,4,8,0,28
14,DISEASES OF THE GENITOURINARY,M,,1,,,15,,41,111,131,84,139,0,529
14,SYSTEM (N00-N99),F,,1,,,16,,31,58,60,23,84,0,279
14,,T,,2,,,31,,72,169,191,107,223,0,808
15,"PREGNANCY, CHILDBIRTH AND THE",F,,0,,,10,,12,14,0,0,0,0,55
15,PUERPERIUM (O00-O99),T,,0,,,10,,12,14,0,0,0,0,55
16,CERTAIN CONDITIONS ORIGINATING,M,,0,,,0,,0,0,0,0,0,0,258
16,IN THE PERINATAL PERIOD (P00-P96),F,,0,,,0,,0,0,0,0,0,0,182
16,,T,,0,,,0,,0,0,0,0,0,0,440
17,"CONGENITAL MALFORMATIONS,",M,,0,,,0,,1,2,0,1,6,0,15
17,DEFORMATIONS AND CHROMOSOMAL,F,,0,,,0,,0,3,2,0,2,0,13
17,ABNORMALITIES (Q00-Q99),T,,0,,,0,,1,5,2,1,8,0,28
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,,1,,,11,,16,32,45,26,131,0,276
18,CLINICAL  AND LABORATORY FINDINGS,F,,0,,,5,,6,16,26,16,164,0,253
18,N.E.C. (R00-R99),T,,1,,,16,,22,48,71,42,295,0,529
19,"INJURY, POISONING AND CERTAIN OTHER",M,,2,,,73,,70,54,52,10,21,0,346
19,CONSEQUENCES OF EXTERNAL,F,,0,,,40,,17,18,20,9,25,0,168
19,CAUSES (S00-T98),T,,2,,,113,,87,72,72,19,46,0,514
20,Codes for Special Purposes,M,,0,,,6,,22,29,56,32,55,0,203
20,(U00-U49),F,,0,,,2,,10,9,18,5,18,0,62
20,,T,,0,,,8,,32,38,74,37,73,0,265
,,M,,25,,,304,,599,1132,1553,797,1882,0,6930
,A L L  C A U S E S,F,,12,,,211,,285,530,744,438,1473,0,4230
total,,T,,37,,,515,,884,1662,2297,1235,3355,0,11160
