UTTAR PRADESH,,,,,,,,,,,,,,,
Group No.,CA U S E  O F   D E A T H,Sex,<1,1-4,5-14,15-24,25-34,35-44,,45-54,55-64,65-69,70+,N.S.,
1,2,3,4,5,6,7,8,9,,10,11,12,13,14,
1,CERTAIN INFECTIOUS AND PARASITIC,M,99,173,248,379,539,496,,637,717,561,946,161,
1,DISEASES (A00-B99),F,73,104,187,334,340,317,,365,377,319,534,126,
2,,T,172,277,435,713,879,813,,1002,1094,880,1480,287,
2,NEOPLASMS,M,15,19,25,40,71,229,,235,267,176,243,12,
2,(C00-D48),F,5,6,10,14,38,187,,162,187,156,142,19,
3,,T,20,25,35,54,109,416,,397,454,332,385,31,
3,DISEASES OF BLOOD & BLOOD FORMING,M,22,23,59,99,89,96,,95,118,68,139,5,
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,9,9,32,94,99,76,,90,92,60,73,15,
4,THE IMMUNE MECHANISM (D50-D89),T,31,32,91,193,188,172,,185,210,128,212,20,
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,9,11,10,15,93,132,,199,251,169,215,35,
4,DISEASES (E00-E89),F,3,4,5,22,38,79,,102,210,147,122,19,
5,,T,12,15,15,37,131,211,,301,461,316,337,54,
5,MENTAL AND BEHAVIOURAL DISORDERS,M,0,0,4,0,14,5,,32,21,15,21,0,
5,(F01-F99),F,0,2,0,4,11,5,,13,21,16,11,0,
6,,T,0,2,4,4,25,10,,45,42,31,32,0,
6,DISEASES OF THE NERVOUS SYSTEM,M,30,37,24,31,114,80,,149,185,169,128,21,
6,(G00-G98),F,16,30,34,46,53,46,,78,82,84,87,22,
7,,T,46,67,58,77,167,126,,227,267,253,215,43,
7,DISEASES OF THE EYE AND ADNEXA,M,0,0,0,0,0,2,,16,6,0,6,0,
7,(H00-H59),F,0,0,0,0,1,1,,2,1,0,2,0,
8,,T,0,0,0,0,1,3,,18,7,0,8,0,
8,DISEASES OF THE EAR AND MASTOID,M,0,0,0,1,1,4,,2,1,1,3,0,
8,PROCESS (H60-H95),F,0,0,0,0,0,0,,2,2,0,0,0,
9,,T,0,0,0,1,1,4,,4,3,1,3,0,
9,DISEASES OF THE CIRCULATORY,M,104,67,140,503,607,774,,1409,1866,1366,2269,338,
9,SYSTEM (I00-I99),F,37,52,102,297,378,425,,768,974,821,1358,162,
10,,T,141,119,242,800,985,1199,,2177,2840,2187,3627,500,
10,DISEASES OF THE RESPIRATORY,M,94,90,87,151,266,514,,1005,1319,1190,1524,564,
10,SYSTEM (J00-J98),F,69,72,56,138,195,244,,543,748,678,779,294,
11,,T,163,162,143,289,461,758,,1548,2067,1868,2303,858,
11,DISEASES OF THE DIGESTIVE SYSTEM,M,15,11,35,80,194,231,,269,309,270,307,130,
11,(K00-K92),F,5,3,33,59,108,114,,143,156,135,225,86,
12,,T,20,14,68,139,302,345,,412,465,405,532,216,
12,DISEASES OF THE SKIN AND,M,0,0,3,8,18,19,,32,17,5,13,0,
12,SUBCUTANEOUS TISSUE (L00-L98),F,0,0,2,4,7,14,,26,21,8,11,0,
13,,T,0,0,5,12,25,33,,58,38,13,24,0,
13,DISEASES OF THE MUSCULOSKELETAL,M,0,0,1,2,6,19,,13,14,4,10,0,
13,SYSTEM AND CONNECTIVE TISSUE,F,0,0,1,4,0,6,,8,7,9,6,0,
14,(M00-M99),T,0,0,2,6,6,25,,21,21,13,16,0,
14,DISEASES OF THE GENITOURINARY,M,11,2,20,59,77,84,,120,520,365,734,68,
14,SYSTEM (N00-N99),F,3,2,24,27,57,60,,106,247,286,366,28,
15,,T,14,4,44,86,134,144,,226,767,651,1100,96,
15,"PREGNANCY, CHILDBIRTH AND THE",F,0,0,0,1657,957,821,,79,0,0,0,0,
16,PUERPERIUM (O00-O99),T,0,0,0,1657,957,821,,79,0,0,0,0,
16,CERTAIN CONDITIONS ORIGINATING,M,1239,0,0,0,0,0,,0,0,0,0,0,
16,IN THE PERINATAL PERIOD (P00-P96),F,826,0,0,0,0,0,,0,0,0,0,0,
17,,T,2065,0,0,0,0,0,,0,0,0,0,0,
17,"CONGENITAL MALFORMATIONS,",M,17,9,3,3,0,4,,5,5,3,6,1,
17,DEFORMATIONS AND CHROMOSOMAL,F,13,7,2,5,5,3,,5,4,2,0,0,
18,ABNORMALITIES (Q00-Q99),T,30,16,5,8,5,7,,10,9,5,6,1,
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,40,54,100,174,248,360,,380,503,401,1787,31,
18,CLINICAL  AND LABORATORY FINDINGS,F,27,47,104,189,156,234,,251,357,255,278,333,
19,N.E.C. (R00-R99),T,67,101,204,363,404,594,,631,860,656,2065,364,
19,"INJURY, POISONING AND CERTAIN OTHER",M,0,0,0,21,25,27,,29,164,237,16414,8293,
19,CONSEQUENCES OF EXTERNAL,F,1,1,4,14,9,13,,14,78,120,4114,4255,
20,CAUSES (S00-T98),T,1,1,4,35,34,40,,43,242,357,20528,12548,
20,Codes for Special Purposes,M,30,58,332,1114,1523,1187,,1207,1206,1130,2464,802,
20,(U00-U49),F,17,34,245,556,765,563,,559,554,629,1044,470,
,,T,47,92,577,1670,2288,1750,,1766,1760,1759,3508,1272,
,,M,1725,554,1091,2680,3885,4263,,5834,7489,6130,27229,10461,
,A L L  C A U S E S,F,1104,373,841,3464,3217,3208,,3316,4118,3725,9152,5829,
total,,T,2829,927,1932,6144,7102,7471,,9150,11607,9855,36381,16290,
