UTTARAKHAND,,,,,,,,,,,,,,,
Group No.,CA U S E  O F   D E A T H,Sex,<1,1-4,5-14,15-24,25-34    35-44,,,45-54,55-64,65-69,70+,N.S.    TOTAL,
1,2,3,4,5,6,7,8            9,,,10,11,12,13,14          15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,16,14,16,22,28,,41,56,58,39,81,2,373
1,DISEASES (A00-B99),F,14,10,13,31,18,,30,35,39,30,39,1,260
1,,T,30,24,29,53,46,,71,91,97,69,120,3,633
2,NEOPLASMS,M,0,1,1,2,3,,12,23,46,45,49,0,182
2,(C00-D48),F,1,0,0,4,4,,8,12,21,39,26,0,115
2,,T,1,1,1,6,7,,20,35,67,84,75,0,297
3,DISEASES OF BLOOD & BLOOD FORMING,M,1,1,0,5,6,,5,7,8,12,9,0,54
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,2,3,7,5,6,,7,10,7,9,9,0,65
3,THE IMMUNE MECHANISM (D50-D89),T,3,4,7,10,12,,12,17,15,21,18,0,119
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,6,2,1,13,17,,12,37,60,43,56,5,252
4,DISEASES (E00-E89),F,0,0,0,5,6,,14,28,48,45,47,2,195
4,,T,6,2,1,18,23,,26,65,108,88,103,7,447
5,MENTAL AND BEHAVIOURAL DISORDERS,M,0,0,0,0,2,,3,7,4,1,1,0,18
5,(F01-F99),F,0,0,0,0,0,,0,1,1,0,0,0,2
5,,T,0,0,0,0,2,,3,8,5,1,1,0,20
6,DISEASES OF THE NERVOUS SYSTEM,M,1,3,5,13,11,,6,19,26,7,13,3,107
6,(G00-G98),F,1,1,1,7,6,,9,14,11,7,9,5,71
6,,T,2,4,6,20,17,,15,33,37,14,22,8,178
7,DISEASES OF THE EYE AND ADNEXA,M,0,0,0,0,0,,0,0,0,0,0,0,0
7,(H00-H59),F,0,0,0,0,0,,0,0,0,0,0,0,0
7,,T,0,0,0,0,0,,0,0,0,0,0,0,0
8,DISEASES OF THE EAR AND MASTOID,M,0,0,1,0,0,,0,0,0,0,0,0,1
8,PROCESS (H60-H95),F,0,0,0,0,0,,0,0,0,0,0,0,0
8,,T,0,0,1,0,0,,0,0,0,0,0,0,1
9,DISEASES OF THE CIRCULATORY,M,5,2,3,14,26,,100,186,224,150,241,32,983
9,SYSTEM (I00-I99),F,3,0,0,12,13,,52,117,134,125,166,17,639
9,,T,8,2,3,26,39,,152,303,358,275,407,49,1622
10,DISEASES OF THE RESPIRATORY,M,34,16,6,21,21,,51,84,149,142,214,1,739
10,SYSTEM (J00-J98),F,19,9,10,14,9,,44,71,98,91,120,2,487
10,,T,53,25,16,35,30,,95,155,247,233,334,3,1226
11,DISEASES OF THE DIGESTIVE SYSTEM,M,7,1,3,5,20,,63,62,48,28,37,0,274
11,(K00-K92),F,1,2,4,4,13,,19,35,24,14,28,0,144
11,,T,8,3,7,9,33,,82,97,72,42,65,0,418
12,DISEASES OF THE SKIN AND,M,0,0,0,0,1,,0,1,0,1,3,0,6
12,SUBCUTANEOUS TISSUE (L00-L98),F,0,0,0,0,1,,1,2,0,3,1,0,8
12,,T,0,0,0,0,2,,1,3,0,4,4,0,14
13,DISEASES OF THE MUSCULOSKELETAL,M,0,1,0,1,1,,2,2,0,1,2,0,10
13,SYSTEM AND CONNECTIVE TISSUE,F,0,0,0,1,1,,2,1,2,4,0,0,11
13,(M00-M99),T,0,1,0,2,2,,4,3,2,5,2,0,21
14,DISEASES OF THE GENITOURINARY,M,0,0,0,6,15,,23,64,72,45,64,4,293
14,SYSTEM (N00-N99),F,1,2,2,8,11,,20,38,52,25,51,2,212
14,,T,1,2,2,14,26,,43,102,124,70,115,6,505
15,"PREGNANCY, CHILDBIRTH AND THE",F,0,0,0,4,13,,2,0,0,0,0,0,19
15,PUERPERIUM (O00-O99),T,0,0,0,4,13,,2,0,0,0,0,0,19
16,CERTAIN CONDITIONS ORIGINATING,M,178,0,0,0,0,,0,0,0,0,0,0,178
16,IN THE PERINATAL PERIOD (P00-P96),F,110,0,0,0,0,,0,0,0,0,0,0,110
16,,T,288,0,0,0,0,,0,0,0,0,0,0,288
17,"CONGENITAL MALFORMATIONS,",M,9,0,0,0,0,,0,0,0,0,0,0,9
17,DEFORMATIONS AND CHROMOSOMAL,F,7,0,0,0,1,,0,0,0,0,0,0,8
17,ABNORMALITIES (Q00-Q99),T,16,0,0,0,1,,0,0,0,0,0,0,17
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,14,2,2,12,15,,23,41,43,30,36,1,219
18,CLINICAL  AND LABORATORY FINDINGS,F,8,0,0,12,14,,18,25,38,19,30,0,164
18,N.E.C. (R00-R99),T,22,2,2,24,29,,41,66,81,49,66,1,383
19,"INJURY, POISONING AND CERTAIN OTHER",M,1,4,0,20,22,,16,20,19,3,4,0,109
19,CONSEQUENCES OF EXTERNAL,F,0,0,3,17,9,,10,4,8,3,2,0,56
19,CAUSES (S00-T98),T,1,4,3,37,31,,26,24,27,6,6,0,165
20,Codes for Special Purposes,M,1,1,1,20,22,,44,99,149,83,200,22,642
20,(U00-U49),F,0,1,1,8,18,,27,39,60,39,78,19,290
20,,T,1,2,2,28,40,,71,138,209,122,278,41,932
,,M,273,48,39,154,210,,401,708,906,630,1010,70,4449
,A L L  C A U S E S,F,167,28,41,132,143,,263,432,543,453,606,48,2856
total,,T,440,76,80,286,353,,664,1140,1449,1083,1616,118,7305
