WEST BENGAL,,,,,,,,,,,,,,,
Major Group,CA U S E  O F   D E A T H,,,,,,AGE GROUPS,,,,,,,,
No.,,,,1-4,5-14,15-24,25-34    35-44  45-54,,,,55-64,,70+,N.S.    TOTAL,
1,2,,,5,6,7,8            9          10,,,,11,,13,14           15,
1,CERTAIN INFECTIOUS AND PARASITIC,M,,117,126,279,433,,626,1040,1480,,1508,0,6690
1,DISEASES (A00-B99),F,,80,120,332,326,,433,733,898,,1026,0,4721
1,,T,,197,246,611,759,,1059,1773,2378,,2534,0,11411
2,NEOPLASMS,M,,10,21,26,31,,31,144,231,,162,0,786
2,(C00-D48),F,,9,12,22,24,,62,189,137,,77,0,606
2,,T,,19,33,48,55,,93,333,368,,239,0,1392
3,DISEASES OF BLOOD & BLOOD FORMING,M,,19,31,31,32,,43,39,55,,36,0,358
3,ORGANS & CERTAIN DISORDERS INVOLVING,F,,15,21,51,27,,25,50,56,,57,0,348
3,THE IMMUNE MECHANISM (D50-D89),T,,34,52,82,59,,68,89,111,,93,0,706
4,"ENDOCRINE, NUTRITIONAL AND METABOLIC",M,,8,12,29,52,,131,281,455,,449,0,1680
4,DISEASES (E00-E89),F,,3,13,37,48,,91,212,329,,310,0,1207
4,,T,,11,25,66,100,,222,493,784,,759,0,2887
5,MENTAL AND BEHAVIOURAL DISORDERS,M,,0,0,0,6,,9,12,25,,5,0,61
5,(F01-F99),F,,0,0,0,2,,4,5,17,,3,0,31
5,,T,,0,0,0,8,,13,17,42,,8,0,92
6,DISEASES OF THE NERVOUS SYSTEM,M,,62,79,69,80,,92,154,202,,197,0,1110
6,(G00-G98),F,,41,62,59,70,,68,85,98,,113,0,692
6,,T,,103,141,128,150,,160,239,300,,310,0,1802
7,DISEASES OF THE EYE AND ADNEXA,M,,1,2,1,1,,6,2,3,,5,0,24
7,(H00-H59),F,,0,1,0,2,,1,3,2,,3,0,14
7,,T,,1,3,1,3,,7,5,5,,8,0,38
8,DISEASES OF THE EAR AND MASTOID,M,,0,2,0,1,,1,0,1,,0,0,6
8,PROCESS (H60-H95),F,,0,0,0,0,,1,0,0,,0,0,1
8,,T,,0,2,0,1,,2,0,1,,0,0,7
9,DISEASES OF THE CIRCULATORY,M,,49,71,243,490,,1592,2928,5013,,4837,0,17869
9,SYSTEM (I00-I99),F,,41,97,316,425,,1510,1991,3055,,3835,0,13044
9,,T,,90,168,559,915,,3102,4919,8068,,8672,0,30913
10,DISEASES OF THE RESPIRATORY,M,,85,65,148,270,,419,1257,2236,,4140,0,10518
10,SYSTEM (J00-J98),F,,64,59,163,196,,281,607,953,,1438,0,4535
10,,T,,149,124,311,466,,700,1864,3189,,5578,0,15053
11,DISEASES OF THE DIGESTIVE SYSTEM,M,,18,29,72,280,,537,624,481,,257,0,2514
11,(K00-K92),F,,18,22,65,93,,105,173,185,,132,0,909
11,,T,,36,51,137,373,,642,797,666,,389,0,3423
12,DISEASES OF THE SKIN AND,M,,2,1,5,9,,5,9,12,,13,0,70
12,SUBCUTANEOUS TISSUE (L00-L98),F,,2,3,5,5,,9,9,7,,12,0,55
12,,T,,4,4,10,14,,14,18,19,,25,0,125
13,DISEASES OF THE MUSCULOSKELETAL,M,,1,1,14,11,,13,16,18,,11,0,100
13,SYSTEM AND CONNECTIVE TISSUE,F,,3,2,16,13,,12,11,6,,5,0,74
13,(M00-M99),T,,4,3,30,24,,25,27,24,,16,0,174
14,DISEASES OF THE GENITOURINARY,M,,18,38,115,220,,365,685,925,,887,0,3691
14,SYSTEM (N00-N99),F,,6,34,112,167,,240,377,459,,460,0,2112
14,,T,,24,72,227,387,,605,1062,1384,,1347,0,5803
15,"PREGNANCY, CHILDBIRTH AND THE",F,,0,0,94,386,,386,208,0,,0,0,1074
15,PUERPERIUM (O00-O99),T,,0,0,94,386,,386,208,0,,0,0,1074
16,CERTAIN CONDITIONS ORIGINATING,M,,0,0,0,0,,0,0,0,,0,0,2741
16,IN THE PERINATAL PERIOD (P00-P96),F,,0,0,0,0,,0,0,0,,0,0,3642
16,,T,,0,0,0,0,,0,0,0,,0,0,6383
17,"CONGENITAL MALFORMATIONS,",M,,0,0,0,0,,0,0,0,,0,0,583
17,DEFORMATIONS AND CHROMOSOMAL,F,,0,0,0,0,,0,0,0,,0,0,322
17,ABNORMALITIES (Q00-Q99),T,,0,0,0,0,,0,0,0,,0,0,905
18,"SYMPTOMS, SIGNS AND ABNORMAL",M,,73,140,637,791,,779,984,1149,,912,0,6144
18,CLINICAL  AND LABORATORY FINDINGS,F,,51,100,494,442,,380,488,529,,525,0,3424
18,N.E.C. (R00-R99),T,,124,240,1131,1233,,1159,1472,1678,,1437,0,9568
19,"INJURY, POISONING AND CERTAIN OTHER",M,,11,52,318,408,,333,393,350,,226,0,2218
19,CONSEQUENCES OF EXTERNAL,F,,11,56,426,363,,230,205,199,,196,0,1781
19,CAUSES (S00-T98),T,,22,108,744,771,,563,598,549,,422,0,3999
20,CODES FOR SPECIAL PURPOSES,M,,1,2,32,63,,128,330,708,,1248,0,2935
20,(U00-U49),F,,1,4,19,41,,61,186,288,,475,0,1241
20,,T,,2,6,51,104,,189,516,996,,1723,0,4176
,,M,,475,672,2019,3178,,5110,8898,13344,,14893,0,60098
,A L L   C A U S E S,F,,345,606,2211,2630,,3899,5532,7218,,8667,0,39833
total,,T,,820,1278,4230,5808,,9009,14430,20562,,23560,0,99931
